Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
USA,"85,594","1,300","1,868","82,426",27-03-2020,06:17
China,"81,340","3,292","74,588","3,460",27-03-2020,06:17
Italy,"80,589","8,215","10,361","62,013",27-03-2020,06:17
Spain,"57,786","4,365","7,015","46,406",27-03-2020,06:17
Germany,"43,938",267,"5,673","37,998",27-03-2020,06:17
Iran,"29,406","2,234","10,457","16,715",27-03-2020,06:17
France,"29,155","1,696","4,948","22,511",27-03-2020,06:17
Switzerland,"11,811",192,131,"11,488",27-03-2020,06:17
UK,"11,658",578,135,"10,945",27-03-2020,06:17
S. Korea,"9,332",139,"4,528","4,665",27-03-2020,06:17
Netherlands,"7,431",434,3,"6,994",27-03-2020,06:17
Austria,"6,909",49,112,"6,748",27-03-2020,06:17
Belgium,"6,235",220,675,"5,340",27-03-2020,06:17
Canada,"4,043",39,228,"3,776",27-03-2020,06:17
Turkey,"3,629",75,26,"3,528",27-03-2020,06:17
Portugal,"3,544",60,43,"3,441",27-03-2020,06:17
Norway,"3,372",14,6,"3,352",27-03-2020,06:17
Australia,"3,050",13,170,"2,867",27-03-2020,06:17
Brazil,"2,985",77,6,"2,902",27-03-2020,06:17
Sweden,"2,840",77,16,"2,747",27-03-2020,06:17
Israel,"2,693",8,68,"2,617",27-03-2020,06:17
Malaysia,"2,031",23,215,"1,793",27-03-2020,06:17
Czechia,"1,925",9,10,"1,906",27-03-2020,06:17
Denmark,"1,877",41,1,"1,835",27-03-2020,06:17
Ireland,"1,819",19,5,"1,795",27-03-2020,06:17
Luxembourg,"1,453",9,6,"1,438",27-03-2020,06:17
Ecuador,"1,403",34,3,"1,366",27-03-2020,06:17
Japan,"1,387",47,359,981,27-03-2020,06:17
Chile,"1,306",4,22,"1,280",27-03-2020,06:17
Poland,"1,221",16,7,"1,198",27-03-2020,06:17
Pakistan,"1,201",9,21,"1,171",27-03-2020,06:17
Thailand,"1,045",4,88,953,27-03-2020,06:17
Romania,"1,029",23,94,912,27-03-2020,06:17
Saudi Arabia,"1,012",3,33,976,27-03-2020,06:17
Finland,958,5,10,943,27-03-2020,06:17
South Africa,927,,12,915,27-03-2020,06:17
Indonesia,893,78,35,780,27-03-2020,06:17
Greece,892,27,36,829,27-03-2020,06:17
Russia,840,3,38,799,27-03-2020,06:17
Iceland,802,2,82,718,27-03-2020,06:17
India,727,20,45,662,27-03-2020,06:17
Diamond Princess,712,10,597,105,27-03-2020,06:17
Philippines,707,45,28,634,27-03-2020,06:17
Singapore,683,2,172,509,27-03-2020,06:17
Panama,674,9,2,663,27-03-2020,06:17
Argentina,589,12,72,505,27-03-2020,06:17
Mexico,585,6,4,575,27-03-2020,06:17
Peru,580,9,14,557,27-03-2020,06:17
Slovenia,562,6,10,546,27-03-2020,06:17
Qatar,549,,43,506,27-03-2020,06:17
Estonia,538,1,8,529,27-03-2020,06:17
Egypt,495,24,102,369,27-03-2020,06:17
Croatia,495,3,22,470,27-03-2020,06:17
Colombia,491,6,8,477,27-03-2020,06:17
Dominican Republic,488,10,3,475,27-03-2020,06:17
Bahrain,458,4,204,250,27-03-2020,06:17
Serbia,457,7,15,435,27-03-2020,06:17
Hong Kong,454,4,110,340,27-03-2020,06:17
Iraq,382,36,105,241,27-03-2020,06:17
Lebanon,368,6,23,339,27-03-2020,06:17
New Zealand,368,,37,331,27-03-2020,06:17
Algeria,367,25,29,313,27-03-2020,06:17
UAE,333,2,52,279,27-03-2020,06:17
Lithuania,299,4,1,294,27-03-2020,06:17
Armenia,290,1,18,271,27-03-2020,06:17
Morocco,275,11,8,256,27-03-2020,06:17
Bulgaria,264,3,8,253,27-03-2020,06:17
Hungary,261,10,28,223,27-03-2020,06:17
Taiwan,252,2,29,221,27-03-2020,06:17
Latvia,244,,1,243,27-03-2020,06:17
Uruguay,238,,,238,27-03-2020,06:17
Costa Rica,231,2,2,227,27-03-2020,06:17
Slovakia,226,,2,224,27-03-2020,06:17
Andorra,224,3,1,220,27-03-2020,06:17
Jordan,212,,1,211,27-03-2020,06:17
San Marino,208,21,4,183,27-03-2020,06:17
Kuwait,208,,49,159,27-03-2020,06:17
North Macedonia,201,3,3,195,27-03-2020,06:17
Tunisia,197,5,2,190,27-03-2020,06:17
Ukraine,196,5,1,190,27-03-2020,06:17
Bosnia and Herzegovina,191,3,2,186,27-03-2020,06:17
