Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
USA,"93,151","1,382","2,424","89,345",27-03-2020,19:30
China,"81,340","3,292","74,588","3,460",27-03-2020,19:30
Italy,"80,589","8,215","10,361","62,013",27-03-2020,19:30
Spain,"64,059","4,934","9,357","49,768",27-03-2020,19:30
Germany,"49,344",304,"5,673","43,367",27-03-2020,19:30
Iran,"32,332","2,378","11,133","18,821",27-03-2020,19:30
France,"29,155","1,696","4,948","22,511",27-03-2020,19:30
UK,"14,543",759,135,"13,649",27-03-2020,19:30
Switzerland,"12,311",207,897,"11,207",27-03-2020,19:30
S. Korea,"9,332",139,"4,528","4,665",27-03-2020,19:30
Netherlands,"8,603",546,3,"8,054",27-03-2020,19:30
Austria,"7,557",58,225,"7,274",27-03-2020,19:30
Belgium,"7,284",289,858,"6,137",27-03-2020,19:30
Portugal,"4,268",76,43,"4,149",27-03-2020,19:30
Canada,"4,043",39,228,"3,776",27-03-2020,19:30
Norway,"3,696",19,6,"3,671",27-03-2020,19:30
Turkey,"3,629",75,26,"3,528",27-03-2020,19:30
Australia,"3,180",13,170,"2,997",27-03-2020,19:30
Sweden,"3,046",92,16,"2,938",27-03-2020,19:30
Israel,"3,035",12,79,"2,944",27-03-2020,19:30
Brazil,"3,027",77,6,"2,944",27-03-2020,19:30
Malaysia,"2,161",26,259,"1,876",27-03-2020,19:30
Czechia,"2,062",9,11,"2,042",27-03-2020,19:30
Denmark,"2,010",52,1,"1,957",27-03-2020,19:30
Ireland,"1,819",19,5,"1,795",27-03-2020,19:30
Chile,"1,610",5,43,"1,562",27-03-2020,19:30
Luxembourg,"1,605",15,40,"1,550",27-03-2020,19:30
Ecuador,"1,595",36,3,"1,556",27-03-2020,19:30
Japan,"1,387",47,359,981,27-03-2020,19:30
Pakistan,"1,296",9,23,"1,264",27-03-2020,19:30
Romania,"1,292",24,115,"1,153",27-03-2020,19:30
Poland,"1,289",16,7,"1,266",27-03-2020,19:30
Thailand,"1,136",5,97,"1,034",27-03-2020,19:30
Saudi Arabia,"1,104",3,35,"1,066",27-03-2020,19:30
Indonesia,"1,046",87,46,913,27-03-2020,19:30
