Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"1,212,941","65,600","253,552","893,789",05-04-2020,13:00
USA,"311,637","8,454","14,828","288,355",05-04-2020,13:00
Spain,"130,759","12,418","38,080","80,261",05-04-2020,13:00
Italy,"124,632","15,362","20,996","88,274",05-04-2020,13:00
Germany,"96,108","1,444","26,400","68,264",05-04-2020,13:00
France,"89,953","7,560","15,438","66,955",05-04-2020,13:00
China,"81,669","3,329","76,964","1,376",05-04-2020,13:00
Iran,"58,226","3,603","19,736","34,887",05-04-2020,13:00
UK,"41,903","4,313",135,"37,455",05-04-2020,13:00
Turkey,"23,934",501,786,"22,647",05-04-2020,13:00
Switzerland,"20,510",666,"6,415","13,429",05-04-2020,13:00
Belgium,"19,691","1,447","3,751","14,493",05-04-2020,13:00
Netherlands,"16,627","1,651",250,"14,726",05-04-2020,13:00
Canada,"14,018",233,"2,603","11,182",05-04-2020,13:00
Austria,"11,850",204,"2,998","8,648",05-04-2020,13:00
Portugal,"10,524",266,75,"10,183",05-04-2020,13:00
Brazil,"10,360",445,127,"9,788",05-04-2020,13:00
S. Korea,"10,237",183,"6,463","3,591",05-04-2020,13:00
Israel,"8,018",46,477,"7,495",05-04-2020,13:00
Sweden,"6,443",373,205,"5,865",05-04-2020,13:00
Australia,"5,687",34,"2,315","3,338",05-04-2020,13:00
Norway,"5,645",62,32,"5,551",05-04-2020,13:00
Russia,"4,731",43,333,"4,355",05-04-2020,13:00
Ireland,"4,604",137,25,"4,442",05-04-2020,13:00
Czechia,"4,475",62,78,"4,335",05-04-2020,13:00
Chile,"4,161",27,528,"3,606",05-04-2020,13:00
Denmark,"4,077",161,"1,283","2,633",05-04-2020,13:00
Poland,"3,834",84,134,"3,616",05-04-2020,13:00
Malaysia,"3,662",61,"1,005","2,596",05-04-2020,13:00
Romania,"3,613",148,329,"3,136",05-04-2020,13:00
India,"3,588",99,229,"3,260",05-04-2020,13:00
Ecuador,"3,465",172,100,"3,193",05-04-2020,13:00
Philippines,"3,246",152,64,"3,030",05-04-2020,13:00
Japan,"3,139",77,514,"2,548",05-04-2020,13:00
Pakistan,"2,880",45,170,"2,665",05-04-2020,13:00
Luxembourg,"2,729",31,500,"2,198",05-04-2020,13:00
Saudi Arabia,"2,370",29,420,"1,921",05-04-2020,13:00
Indonesia,"2,273",198,164,"1,911",05-04-2020,13:00
Thailand,"2,169",23,674,"1,472",05-04-2020,13:00
Finland,"1,927",25,300,"1,602",05-04-2020,13:00
Mexico,"1,890",79,633,"1,178",05-04-2020,13:00
Panama,"1,801",46,13,"1,742",05-04-2020,13:00
Peru,"1,746",73,914,759,05-04-2020,13:00
Greece,"1,673",68,78,"1,527",05-04-2020,13:00
Serbia,"1,624",44,54,"1,526",05-04-2020,13:00
South Africa,"1,585",9,95,"1,481",05-04-2020,13:00
Dominican Republic,"1,578",77,17,"1,484",05-04-2020,13:00
UAE,"1,505",10,125,"1,370",05-04-2020,13:00
Argentina,"1,451",43,279,"1,129",05-04-2020,13:00
Iceland,"1,417",4,396,"1,017",05-04-2020,13:00
Colombia,"1,406",32,85,"1,289",05-04-2020,13:00
Qatar,"1,325",3,109,"1,213",05-04-2020,13:00
