Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"4,194,834","284,022","1,499,921","2,410,891",11-05-2020,11:34
Europe,"1,640,910","152,865","665,635","822,410",11-05-2020,11:34
North America,"1,498,794","90,109","322,243","1,086,442",11-05-2020,11:34
USA,"1,367,638","80,787","256,336","1,030,515",11-05-2020,11:34
Asia,"670,883","22,226","372,420","276,237",11-05-2020,11:34
South America,"310,189","16,388","108,640","185,161",11-05-2020,11:34
Spain,"264,663","26,621","176,439","61,603",11-05-2020,11:34
Russia,"221,344","2,009","39,801","179,534",11-05-2020,11:34
UK,"219,183","31,855",N/A,"186,984",11-05-2020,11:34
Italy,"219,070","30,560","105,186","83,324",11-05-2020,11:34
France,"176,970","26,380","56,217","94,373",11-05-2020,11:34
Germany,"171,879","7,569","145,600","18,710",11-05-2020,11:34
Brazil,"162,699","11,123","64,957","86,619",11-05-2020,11:34
Turkey,"138,657","3,786","92,691","42,180",11-05-2020,11:34
Iran,"107,603","6,640","86,143","14,820",11-05-2020,11:34
China,"82,918","4,633","78,144",141,11-05-2020,11:34
Canada,"68,848","4,870","32,096","31,882",11-05-2020,11:34
Peru,"67,307","1,889","21,349","44,069",11-05-2020,11:34
India,"67,259","2,212","20,969","44,078",11-05-2020,11:34
Africa,"64,788","2,301","22,683","39,804",11-05-2020,11:34
Belgium,"53,081","8,656","13,642","30,783",11-05-2020,11:34
Netherlands,"42,627","5,440",N/A,"36,937",11-05-2020,11:34
Saudi Arabia,"39,048",246,"11,457","27,345",11-05-2020,11:34
Mexico,"35,022","3,465","23,100","8,457",11-05-2020,11:34
Pakistan,"30,941",667,"8,212","22,062",11-05-2020,11:34
Switzerland,"30,305","1,833","26,600","1,872",11-05-2020,11:34
Ecuador,"29,559","2,127","3,433","23,999",11-05-2020,11:34
Chile,"28,866",312,"13,112","15,442",11-05-2020,11:34
Portugal,"27,581","1,135","2,549","23,897",11-05-2020,11:34
Sweden,"26,322","3,225","4,971","18,126",11-05-2020,11:34
Singapore,"23,822",20,"2,721","21,081",11-05-2020,11:34
Ireland,"22,996","1,458","17,110","4,428",11-05-2020,11:34
Belarus,"22,973",131,"6,406","16,436",11-05-2020,11:34
Qatar,"22,520",14,"2,753","19,753",11-05-2020,11:34
UAE,"18,198",198,"4,804","13,196",11-05-2020,11:34
Israel,"16,492",254,"11,548","4,690",11-05-2020,11:34
Poland,"16,206",803,"5,816","9,587",11-05-2020,11:34
Austria,"15,871",618,"13,991","1,262",11-05-2020,11:34
Japan,"15,777",624,"8,127","7,026",11-05-2020,11:34
Ukraine,"15,648",408,"3,288","11,952",11-05-2020,11:34
Romania,"15,362",961,"7,051","7,350",11-05-2020,11:34
Bangladesh,"14,657",228,"2,650","11,779",11-05-2020,11:34
Indonesia,"14,265",991,"2,881","10,393",11-05-2020,11:34
Philippines,"11,086",726,"1,999","8,361",11-05-2020,11:34
Colombia,"11,063",463,"2,705","7,895",11-05-2020,11:34
S. Korea,"10,909",256,"9,632","1,021",11-05-2020,11:34
Denmark,"10,429",529,"8,217","1,683",11-05-2020,11:34
Dominican Republic,"10,347",388,"2,763","7,196",11-05-2020,11:34
Serbia,"10,114",215,"3,006","6,893",11-05-2020,11:34
South Africa,"10,015",194,"4,173","5,648",11-05-2020,11:34
Egypt,"9,400",525,"2,075","6,800",11-05-2020,11:34
Kuwait,"8,688",58,"2,729","5,901",11-05-2020,11:34
Oceania,"8,549",118,"7,649",782,11-05-2020,11:34
Panama,"8,448",244,"4,687","3,517",11-05-2020,11:34
Czechia,"8,123",280,"4,482","3,361",11-05-2020,11:34
Norway,"8,105",219,32,"7,854",11-05-2020,11:34
Australia,"6,948",97,"6,167",684,11-05-2020,11:34
Malaysia,"6,656",108,"5,025","1,523",11-05-2020,11:34
Morocco,"6,063",188,"2,554","3,321",11-05-2020,11:34
Argentina,"6,034",305,"1,757","3,972",11-05-2020,11:34
Finland,"5,962",267,"4,000","1,695",11-05-2020,11:34
Algeria,"5,723",502,"2,678","2,543",11-05-2020,11:34
Kazakhstan,"5,126",31,"1,941","3,154",11-05-2020,11:34
Bahrain,"4,941",8,"2,070","2,863",11-05-2020,11:34
Moldova,"4,927",171,"1,980","2,776",11-05-2020,11:34
Afghanistan,"4,402",120,558,"3,724",11-05-2020,11:34
Nigeria,"4,399",143,778,"3,478",11-05-2020,11:34
Ghana,"4,263",22,378,"3,863",11-05-2020,11:34
Luxembourg,"3,886",101,"3,586",199,11-05-2020,11:34
Oman,"3,573",17,"1,211","2,345",11-05-2020,11:34
Armenia,"3,392",46,"1,359","1,987",11-05-2020,11:34
Hungary,"3,284",421,958,"1,905",11-05-2020,11:34
Thailand,"3,015",56,"2,796",163,11-05-2020,11:34
Iraq,"2,767",109,"1,734",924,11-05-2020,11:34
Greece,"2,716",151,"1,374","1,191",11-05-2020,11:34
Cameroon,"2,579",114,"1,465","1,000",11-05-2020,11:34
Bolivia,"2,556",118,273,"2,165",11-05-2020,11:34
Azerbaijan,"2,519",32,"1,650",837,11-05-2020,11:34
Uzbekistan,"2,453",10,"1,881",562,11-05-2020,11:34
Croatia,"2,187",90,"1,764",333,11-05-2020,11:34
Guinea,"2,146",11,714,"1,421",11-05-2020,11:34
Bosnia and Herzegovina,"2,117",107,"1,106",904,11-05-2020,11:34
Bulgaria,"1,981",91,461,"1,429",11-05-2020,11:34
Honduras,"1,972",108,203,"1,661",11-05-2020,11:34
Iceland,"1,801",10,"1,773",18,11-05-2020,11:34
Cuba,"1,766",77,"1,193",496,11-05-2020,11:34
Estonia,"1,741",61,751,929,11-05-2020,11:34
Senegal,"1,709",19,650,"1,040",11-05-2020,11:34
Ivory Coast,"1,700",21,794,885,11-05-2020,11:34
North Macedonia,"1,642",91,"1,136",415,11-05-2020,11:34
New Zealand,"1,497",21,"1,386",90,11-05-2020,11:34
Lithuania,"1,485",50,833,602,11-05-2020,11:34
Slovenia,"1,457",102,256,"1,099",11-05-2020,11:34
Slovakia,"1,457",26,959,472,11-05-2020,11:34
Sudan,"1,365",70,149,"1,146",11-05-2020,11:34
Djibouti,"1,210",3,847,360,11-05-2020,11:34
Somalia,"1,054",51,118,885,11-05-2020,11:34
Guatemala,"1,052",26,110,916,11-05-2020,11:34
Hong Kong,"1,048",4,982,62,11-05-2020,11:34
Tunisia,"1,032",45,700,287,11-05-2020,11:34
Mayotte,"1,023",11,492,520,11-05-2020,11:34
Kyrgyzstan,"1,016",12,688,316,11-05-2020,11:34
