Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"4,280,140","288,012","1,540,828","2,451,300",12-05-2020,15:24
Europe,"1,667,825","154,452","680,169","833,204",12-05-2020,15:24
North America,"1,520,233","91,370","329,236","1,099,627",12-05-2020,15:24
USA,"1,385,893","81,796","262,225","1,041,872",12-05-2020,15:24
Asia,"692,864","22,654","386,003","284,207",12-05-2020,15:24
South America,"320,843","17,048","112,867","190,928",12-05-2020,15:24
Spain,"269,520","26,920","180,470","62,130",12-05-2020,15:24
Russia,"232,243","2,116","43,512","186,615",12-05-2020,15:24
UK,"223,060","32,065",N/A,"190,651",12-05-2020,15:24
Italy,"219,814","30,739","106,587","82,488",12-05-2020,15:24
France,"177,423","26,643","56,724","94,056",12-05-2020,15:24
Germany,"172,626","7,661","147,200","17,765",12-05-2020,15:24
Brazil,"169,594","11,653","67,384","90,557",12-05-2020,15:24
Turkey,"139,771","3,841","95,780","40,150",12-05-2020,15:24
Iran,"110,767","6,733","88,357","15,677",12-05-2020,15:24
China,"82,919","4,633","78,171",115,12-05-2020,15:24
India,"71,369","2,310","23,049","46,010",12-05-2020,15:24
Canada,"69,981","4,993","32,994","31,994",12-05-2020,15:24
Africa,"69,089","2,355","24,179","42,555",12-05-2020,15:24
Peru,"68,822","1,961","22,406","44,455",12-05-2020,15:24
Belgium,"53,779","8,761","13,732","31,286",12-05-2020,15:24
Netherlands,"42,984","5,510",N/A,"37,224",12-05-2020,15:24
Saudi Arabia,"41,014",255,"12,737","28,022",12-05-2020,15:24
Mexico,"36,327","3,573","23,100","9,654",12-05-2020,15:24
Pakistan,"32,674",724,"8,555","23,395",12-05-2020,15:24
Switzerland,"30,380","1,845","26,800","1,735",12-05-2020,15:24
Chile,"30,063",323,"13,605","16,135",12-05-2020,15:24
Ecuador,"29,509","2,145","3,433","23,931",12-05-2020,15:24
Portugal,"27,913","1,163","3,013","23,737",12-05-2020,15:24
Sweden,"27,272","3,313","4,971","18,988",12-05-2020,15:24
Singapore,"24,671",21,"3,225","21,425",12-05-2020,15:24
Belarus,"23,906",135,"6,531","17,240",12-05-2020,15:24
Qatar,"23,623",14,"2,840","20,769",12-05-2020,15:24
Ireland,"23,135","1,467","17,110","4,558",12-05-2020,15:24
UAE,"19,661",203,"6,012","13,446",12-05-2020,15:24
Bangladesh,"16,660",250,"3,147","13,263",12-05-2020,15:24
Poland,"16,561",827,"6,131","9,603",12-05-2020,15:24
Israel,"16,526",258,"11,956","4,312",12-05-2020,15:24
Ukraine,"16,023",425,"3,373","12,225",12-05-2020,15:24
Austria,"15,961",623,"14,148","1,190",12-05-2020,15:24
Japan,"15,847",633,"8,293","6,921",12-05-2020,15:24
Romania,"15,778",991,"7,685","7,102",12-05-2020,15:24
Indonesia,"14,749","1,007","3,063","10,679",12-05-2020,15:24
Colombia,"11,613",479,"2,825","8,309",12-05-2020,15:24
Philippines,"11,350",751,"2,106","8,493",12-05-2020,15:24
South Africa,"11,350",206,"4,357","6,787",12-05-2020,15:24
S. Korea,"10,936",258,"9,670","1,008",12-05-2020,15:24
Dominican Republic,"10,634",393,"2,870","7,371",12-05-2020,15:24
Denmark,"10,591",533,"8,328","1,730",12-05-2020,15:24
Kuwait,"10,277",75,"3,101","7,101",12-05-2020,15:24
Serbia,"10,176",218,"3,290","6,668",12-05-2020,15:24
Egypt,"9,746",533,"2,172","7,041",12-05-2020,15:24
Panama,"8,616",249,"4,687","3,680",12-05-2020,15:24
Oceania,"8,565",118,"7,723",724,12-05-2020,15:24
Czechia,"8,177",283,"4,738","3,156",12-05-2020,15:24
Norway,"8,132",224,32,"7,876",12-05-2020,15:24
Australia,"6,964",97,"6,229",638,12-05-2020,15:24
