Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
China,"80,967","3,248","71,150","6,569",20-03-2020,22:24
Italy,"47,021","4,032","5,129","37,860",20-03-2020,22:24
Spain,"20,412","1,044","1,588","17,780",20-03-2020,22:24
Germany,"19,848",59,180,"19,609",20-03-2020,22:24
Iran,"19,644","1,433","6,745","11,466",20-03-2020,22:24
USA,"16,830",230,125,"16,475",20-03-2020,22:24
France,"12,612",450,"1,295","10,867",20-03-2020,22:24
S. Korea,"8,652",94,"2,233","6,325",20-03-2020,22:24
Switzerland,"5,381",56,15,"5,310",20-03-2020,22:24
UK,"3,983",177,65,"3,741",20-03-2020,22:24
Netherlands,"2,994",106,2,"2,886",20-03-2020,22:24
Austria,"2,491",6,9,"2,476",20-03-2020,22:24
Belgium,"2,257",37,204,"2,016",20-03-2020,22:24
Norway,"1,923",7,1,"1,915",20-03-2020,22:24
Sweden,"1,639",16,16,"1,607",20-03-2020,22:24
Denmark,"1,255",9,1,"1,245",20-03-2020,22:24
Malaysia,"1,030",3,87,940,20-03-2020,22:24
Portugal,"1,020",6,5,"1,009",20-03-2020,22:24
Japan,963,33,215,715,20-03-2020,22:24
Canada,943,12,11,920,20-03-2020,22:24
Australia,876,7,46,823,20-03-2020,22:24
Czechia,833,,4,829,20-03-2020,22:24
Diamond Princess,712,8,527,177,20-03-2020,22:24
Israel,705,,15,690,20-03-2020,22:24
Ireland,683,3,5,675,20-03-2020,22:24
Brazil,654,7,2,645,20-03-2020,22:24
Pakistan,500,3,13,484,20-03-2020,22:24
Greece,495,9,19,467,20-03-2020,22:24
Luxembourg,484,5,6,473,20-03-2020,22:24
Qatar,470,,10,460,20-03-2020,22:24
Finland,450,,10,440,20-03-2020,22:24
Chile,434,,6,428,20-03-2020,22:24
Poland,411,5,13,393,20-03-2020,22:24
Iceland,409,,5,404,20-03-2020,22:24
Singapore,385,,131,254,20-03-2020,22:24
Indonesia,369,32,17,320,20-03-2020,22:24
Ecuador,367,5,3,359,20-03-2020,22:24
Turkey,359,4,,355,20-03-2020,22:24
Saudi Arabia,344,,8,336,20-03-2020,22:24
Slovenia,341,1,,340,20-03-2020,22:24
Thailand,322,1,42,279,20-03-2020,22:24
Romania,308,,31,277,20-03-2020,22:24
Bahrain,291,1,112,178,20-03-2020,22:24
Estonia,283,,1,282,20-03-2020,22:24
Egypt,256,7,42,207,20-03-2020,22:24
Hong Kong,256,4,98,154,20-03-2020,22:24
Russia,253,1,12,240,20-03-2020,22:24
India,249,5,23,221,20-03-2020,22:24
Peru,234,4,1,229,20-03-2020,22:24
Philippines,230,18,8,204,20-03-2020,22:24
South Africa,202,,,202,20-03-2020,22:24
Iraq,192,13,49,130,20-03-2020,22:24
Lebanon,177,4,4,169,20-03-2020,22:24
Mexico,164,1,4,159,20-03-2020,22:24
Kuwait,159,,22,137,20-03-2020,22:24
Colombia,145,,1,144,20-03-2020,22:24
San Marino,144,14,4,126,20-03-2020,22:24
UAE,140,,31,109,20-03-2020,22:24
Panama,137,1,1,135,20-03-2020,22:24
Slovakia,137,,,137,20-03-2020,22:24
Armenia,136,,1,135,20-03-2020,22:24
Taiwan,135,2,28,105,20-03-2020,22:24
Serbia,135,1,2,132,20-03-2020,22:24
Bulgaria,129,3,1,125,20-03-2020,22:24
Argentina,128,3,3,122,20-03-2020,22:24
Croatia,128,1,5,122,20-03-2020,22:24
Latvia,111,,1,110,20-03-2020,22:24
Uruguay,94,,,94,20-03-2020,22:24
Vietnam,91,,17,74,20-03-2020,22:24
Algeria,90,11,32,47,20-03-2020,22:24
Costa Rica,89,2,,87,20-03-2020,22:24
Hungary,85,4,7,74,20-03-2020,22:24
Bosnia and Herzegovina,84,,2,82,20-03-2020,22:24
Faeroe Islands,80,,3,77,20-03-2020,22:24
Brunei,78,,1,77,20-03-2020,22:24
Morocco,77,3,2,72,20-03-2020,22:24
Andorra,75,,1,74,20-03-2020,22:24
Cyprus,75,,,75,20-03-2020,22:24
Sri Lanka,73,,3,70,20-03-2020,22:24
Dominican Republic,72,2,,70,20-03-2020,22:24
Albania,70,2,,68,20-03-2020,22:24
North Macedonia,70,,1,69,20-03-2020,22:24
Belarus,69,,15,54,20-03-2020,22:24
Jordan,69,,1,68,20-03-2020,22:24
Moldova,66,1,1,64,20-03-2020,22:24
Malta,64,,2,62,20-03-2020,22:24
Lithuania,63,,1,62,20-03-2020,22:24
Tunisia,54,1,1,52,20-03-2020,22:24
Kazakhstan,52,,,52,20-03-2020,22:24
Cambodia,51,,1,50,20-03-2020,22:24
Oman,48,,13,35,20-03-2020,22:24
Palestine,48,,17,31,20-03-2020,22:24
Guadeloupe,45,,,45,20-03-2020,22:24
Azerbaijan,44,1,7,36,20-03-2020,22:24
Georgia,44,,1,43,20-03-2020,22:24
Venezuela,42,,,42,20-03-2020,22:24
Burkina Faso,40,1,4,35,20-03-2020,22:24
New Zealand,39,,,39,20-03-2020,22:24
Senegal,38,,2,36,20-03-2020,22:24
Uzbekistan,33,,,33,20-03-2020,22:24
Martinique,32,1,,31,20-03-2020,22:24
Ukraine,29,3,1,25,20-03-2020,22:24
Liechtenstein,28,,,28,20-03-2020,22:24
Réunion,28,,,28,20-03-2020,22:24
Afghanistan,24,,1,23,20-03-2020,22:24
Honduras,24,,,24,20-03-2020,22:24
Bangladesh,20,1,3,16,20-03-2020,22:24
Cameroon,20,,2,18,20-03-2020,22:24
DRC,18,,,18,20-03-2020,22:24
Macao,17,,10,7,20-03-2020,22:24
Cuba,16,1,,15,20-03-2020,22:24
Jamaica,16,1,2,13,20-03-2020,22:24
Bolivia,16,,,16,20-03-2020,22:24
Ghana,16,,,16,20-03-2020,22:24
Guyana,15,1,,14,20-03-2020,22:24
French Guiana,15,,,15,20-03-2020,22:24
Guam,14,,,14,20-03-2020,22:24
Montenegro,14,,,14,20-03-2020,22:24
Puerto Rico,14,,,14,20-03-2020,22:24
Maldives,13,,,13,20-03-2020,22:24
Paraguay,13,,,13,20-03-2020,22:24
Guatemala,12,1,,11,20-03-2020,22:24
Nigeria,12,,1,11,20-03-2020,22:24
Channel Islands,12,,,12,20-03-2020,22:24
Mauritius,12,,,12,20-03-2020,22:24
Monaco,11,,,11,20-03-2020,22:24
French Polynesia,11,,,11,20-03-2020,22:24
Rwanda,11,,,11,20-03-2020,22:24
Gibraltar,10,,2,8,20-03-2020,22:24
Ivory Coast,9,,1,8,20-03-2020,22:24
Ethiopia,9,,,9,20-03-2020,22:24
Togo,9,,,9,20-03-2020,22:24
Trinidad and Tobago,9,,,9,20-03-2020,22:24
Kenya,7,,,7,20-03-2020,22:24
Seychelles,7,,,7,20-03-2020,22:24
Equatorial Guinea,6,,,6,20-03-2020,22:24
Kyrgyzstan,6,,,6,20-03-2020,22:24
Mayotte,6,,,6,20-03-2020,22:24
Mongolia,6,,,6,20-03-2020,22:24
Tanzania,6,,,6,20-03-2020,22:24
Aruba,5,,1,4,20-03-2020,22:24
Barbados,5,,,5,20-03-2020,22:24
Saint Martin,4,,,4,20-03-2020,22:24
Suriname,4,,,4,20-03-2020,22:24
Cayman Islands,3,1,,2,20-03-2020,22:24
Curaçao,3,1,,2,20-03-2020,22:24
Gabon,3,1,,2,20-03-2020,22:24
Bahamas,3,,,3,20-03-2020,22:24
CAR,3,,,3,20-03-2020,22:24
Congo,3,,,3,20-03-2020,22:24
Madagascar,3,,,3,20-03-2020,22:24
Namibia,3,,,3,20-03-2020,22:24
St. Barth,3,,,3,20-03-2020,22:24
U.S. Virgin Islands,3,,,3,20-03-2020,22:24
Sudan,2,1,,1,20-03-2020,22:24
Benin,2,,,2,20-03-2020,22:24
Bermuda,2,,,2,20-03-2020,22:24
Bhutan,2,,,2,20-03-2020,22:24
Greenland,2,,,2,20-03-2020,22:24
Guinea,2,,,2,20-03-2020,22:24
Haiti,2,,,2,20-03-2020,22:24
Isle of Man,2,,,2,20-03-2020,22:24
Liberia,2,,,2,20-03-2020,22:24
Mauritania,2,,,2,20-03-2020,22:24
New Caledonia,2,,,2,20-03-2020,22:24
Saint Lucia,2,,,2,20-03-2020,22:24
Zambia,2,,,2,20-03-2020,22:24
Nepal,1,,1,0,20-03-2020,22:24
Angola,1,,,1,20-03-2020,22:24
Antigua and Barbuda,1,,,1,20-03-2020,22:24
Cabo Verde,1,,,1,20-03-2020,22:24
Chad,1,,,1,20-03-2020,22:24
Djibouti,1,,,1,20-03-2020,22:24
El Salvador,1,,,1,20-03-2020,22:24
Fiji,1,,,1,20-03-2020,22:24
Gambia,1,,,1,20-03-2020,22:24
Vatican City,1,,,1,20-03-2020,22:24
Montserrat,1,,,1,20-03-2020,22:24
Nicaragua,1,,,1,20-03-2020,22:24
Niger,1,,,1,20-03-2020,22:24
Papua New Guinea,1,,,1,20-03-2020,22:24
St. Vincent Grenadines,1,,,1,20-03-2020,22:24
Sint Maarten,1,,,1,20-03-2020,22:24
Somalia,1,,,1,20-03-2020,22:24
Eswatini,1,,,1,20-03-2020,22:24
