Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
China,"81,093","3,270","72,703","5,120",23-03-2020,07:25
Italy,"59,138","5,476","7,024","46,638",23-03-2020,07:25
USA,"34,717",452,178,"34,087",23-03-2020,07:25
Spain,"28,768","1,772","2,575","24,421",23-03-2020,07:25
Germany,"24,873",94,266,"24,513",23-03-2020,07:25
Iran,"21,638","1,685","7,913","12,040",23-03-2020,07:25
France,"16,018",674,"2,200","13,144",23-03-2020,07:25
S. Korea,"8,961",111,"3,166","5,684",23-03-2020,07:25
Switzerland,"7,474",98,131,"7,245",23-03-2020,07:25
UK,"5,683",281,135,"5,267",23-03-2020,07:25
Netherlands,"4,204",179,2,"4,023",23-03-2020,07:25
Austria,"3,582",16,9,"3,557",23-03-2020,07:25
Belgium,"3,401",75,340,"2,986",23-03-2020,07:25
Norway,"2,385",7,6,"2,372",23-03-2020,07:25
Sweden,"1,934",21,16,"1,897",23-03-2020,07:25
Australia,"1,629",7,88,"1,534",23-03-2020,07:25
Portugal,"1,600",14,5,"1,581",23-03-2020,07:25
Brazil,"1,546",25,2,"1,519",23-03-2020,07:25
Canada,"1,470",20,14,"1,436",23-03-2020,07:25
Denmark,"1,395",13,1,"1,381",23-03-2020,07:25
Malaysia,"1,306",10,139,"1,157",23-03-2020,07:25
Turkey,"1,236",30,,"1,206",23-03-2020,07:25
Czechia,"1,120",1,6,"1,113",23-03-2020,07:25
Japan,"1,101",41,235,825,23-03-2020,07:25
Israel,"1,071",1,37,"1,033",23-03-2020,07:25
Ireland,906,4,5,897,23-03-2020,07:25
Luxembourg,798,8,6,784,23-03-2020,07:25
Ecuador,789,14,3,772,23-03-2020,07:25
Pakistan,776,5,13,758,23-03-2020,07:25
Diamond Princess,712,8,567,137,23-03-2020,07:25
Poland,634,7,13,614,23-03-2020,07:25
Chile,632,1,8,623,23-03-2020,07:25
Finland,626,1,10,615,23-03-2020,07:25
Greece,624,15,19,590,23-03-2020,07:25
Thailand,599,1,44,554,23-03-2020,07:25
Iceland,568,1,5,562,23-03-2020,07:25
Indonesia,514,48,29,437,23-03-2020,07:25
Saudi Arabia,511,,17,494,23-03-2020,07:25
Qatar,494,,33,461,23-03-2020,07:25
Singapore,455,2,144,309,23-03-2020,07:25
Romania,433,3,64,366,23-03-2020,07:25
Slovenia,414,2,,412,23-03-2020,07:25
India,396,7,24,365,23-03-2020,07:25
Philippines,380,25,15,340,23-03-2020,07:25
Russia,367,1,16,350,23-03-2020,07:25
Peru,363,5,1,357,23-03-2020,07:25
Bahrain,334,2,149,183,23-03-2020,07:25
