Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"6,606,233","388,554","3,193,248","3,024,431",04-06-2020,15:46
North America,"2,153,010","129,980","840,948","1,182,082",04-06-2020,15:46
Europe,"2,039,907","176,703","1,040,462","822,742",04-06-2020,15:46
USA,"1,902,779","109,159","688,811","1,104,809",04-06-2020,15:46
Asia,"1,248,499","32,734","759,197","456,568",04-06-2020,15:46
South America,"989,408","44,358","470,895","474,155",04-06-2020,15:46
Brazil,"587,017","32,602","266,132","288,283",04-06-2020,15:46
Russia,"441,108","5,384","204,623","231,101",04-06-2020,15:46
Spain,"287,406","27,128",N/A,N/A,04-06-2020,15:46
UK,"279,856","39,728",N/A,N/A,04-06-2020,15:46
Italy,"233,836","33,601","160,938","39,297",04-06-2020,15:46
India,"217,967","6,093","104,371","107,503",04-06-2020,15:46
Germany,"184,470","8,701","167,800","7,969",04-06-2020,15:46
Peru,"178,914","4,894","72,319","101,701",04-06-2020,15:46
Turkey,"166,422","4,609","130,852","30,961",04-06-2020,15:46
Africa,"165,838","4,640","72,865","88,333",04-06-2020,15:46
Iran,"164,270","8,071","127,485","28,714",04-06-2020,15:46
France,"151,677","29,021","69,455","53,201",04-06-2020,15:46
Chile,"113,628","1,275","90,748","21,605",04-06-2020,15:46
Mexico,"101,238","11,729","73,271","16,238",04-06-2020,15:46
Saudi Arabia,"93,157",611,"68,965","23,581",04-06-2020,15:46
Canada,"93,085","7,498","51,048","34,539",04-06-2020,15:46
Pakistan,"85,264","1,770","30,128","53,366",04-06-2020,15:46
China,"83,022","4,634","78,319",69,04-06-2020,15:46
Qatar,"63,741",45,"39,468","24,228",04-06-2020,15:46
Belgium,"58,767","9,548","16,048","33,171",04-06-2020,15:46
Bangladesh,"57,563",781,"12,161","44,621",04-06-2020,15:46
Netherlands,"46,942","5,990",N/A,N/A,04-06-2020,15:46
Belarus,"45,981",253,"21,162","24,566",04-06-2020,15:46
Ecuador,"40,966","3,486","20,019","17,461",04-06-2020,15:46
Sweden,"40,803","4,542",N/A,N/A,04-06-2020,15:46
South Africa,"37,525",792,"19,682","17,051",04-06-2020,15:46
UAE,"37,018",273,"19,572","17,173",04-06-2020,15:46
Singapore,"36,922",24,"23,582","13,316",04-06-2020,15:46
Portugal,"33,592","1,455","20,323","11,814",04-06-2020,15:46
Colombia,"33,354","1,045","12,288","20,021",04-06-2020,15:46
Switzerland,"30,913","1,921","28,600",392,04-06-2020,15:46
Kuwait,"29,921",236,"17,223","12,462",04-06-2020,15:46
Indonesia,"28,818","1,721","8,892","18,205",04-06-2020,15:46
Egypt,"28,615","1,088","7,350","20,177",04-06-2020,15:46
Ukraine,"25,411",747,"11,042","13,622",04-06-2020,15:46
Ireland,"25,111","1,659","22,698",754,04-06-2020,15:46
Poland,"24,826","1,117","12,227","11,482",04-06-2020,15:46
Philippines,"20,382",984,"4,248","15,150",04-06-2020,15:46
Romania,"19,907","1,299","13,919","4,689",04-06-2020,15:46
Argentina,"19,268",588,"5,993","12,687",04-06-2020,15:46
Afghanistan,"18,054",300,"1,585","16,169",04-06-2020,15:46
Dominican Republic,"18,040",516,"11,224","6,300",04-06-2020,15:46
Israel,"17,429",291,"14,993","2,145",04-06-2020,15:46
Japan,"16,986",900,"14,771","1,315",04-06-2020,15:46
Austria,"16,805",670,"15,717",418,04-06-2020,15:46
Panama,"14,609",357,"9,519","4,733",04-06-2020,15:46
Oman,"14,316",67,"3,451","10,798",04-06-2020,15:46
Bahrain,"12,815",21,"7,410","5,384",04-06-2020,15:46
Kazakhstan,"12,067",48,"6,469","5,550",04-06-2020,15:46
Denmark,"11,811",582,"10,620",609,04-06-2020,15:46
Bolivia,"11,638",400,"1,507","9,731",04-06-2020,15:46
S. Korea,"11,629",273,"10,499",857,04-06-2020,15:46
Serbia,"11,523",245,"6,852","4,426",04-06-2020,15:46
Armenia,"11,221",176,"3,468","7,577",04-06-2020,15:46
Nigeria,"11,166",315,"3,329","7,522",04-06-2020,15:46
Algeria,"9,733",673,"6,218","2,842",04-06-2020,15:46
Czechia,"9,441",324,"6,752","2,365",04-06-2020,15:46
Oceania,"8,850",124,"8,230",496,04-06-2020,15:46
Moldova,"8,795",314,"5,009","3,472",04-06-2020,15:46
Ghana,"8,548",38,"3,132","5,378",04-06-2020,15:46
Norway,"8,477",237,"8,138",102,04-06-2020,15:46
Malaysia,"8,247",115,"6,559","1,573",04-06-2020,15:46
Iraq,"8,168",256,"4,095","3,817",04-06-2020,15:46
Morocco,"7,967",207,"7,160",600,04-06-2020,15:46
Australia,"7,240",102,"6,648",490,04-06-2020,15:46
Finland,"6,911",322,"5,800",789,04-06-2020,15:46
Cameroon,"6,789",203,"3,705","2,881",04-06-2020,15:46
Azerbaijan,"6,260",76,"3,665","2,519",04-06-2020,15:46
Guatemala,"5,760",143,929,"4,688",04-06-2020,15:46
Honduras,"5,690",234,617,"4,839",04-06-2020,15:46
Sudan,"5,499",314,"1,711","3,474",04-06-2020,15:46
Tajikistan,"4,191",48,"2,347","1,796",04-06-2020,15:46
Luxembourg,"4,024",110,"3,861",53,04-06-2020,15:46
Senegal,"4,021",45,"2,162","1,814",04-06-2020,15:46
