Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"601,536","27,441","133,454","440,641",28-03-2020,12:32
USA,"104,256","1,704","2,525","100,027",28-03-2020,12:32
Italy,"86,498","9,134","10,950","66,414",28-03-2020,12:32
China,"81,394","3,295","74,971","3,128",28-03-2020,12:32
Spain,"65,719","5,138","9,357","51,224",28-03-2020,12:32
Germany,"53,340",395,"6,658","46,287",28-03-2020,12:32
France,"32,964","1,995","5,700","25,269",28-03-2020,12:32
Iran,"32,332","2,378","11,133","18,821",28-03-2020,12:32
UK,"14,543",759,135,"13,649",28-03-2020,12:32
Switzerland,"13,138",237,"1,530","11,371",28-03-2020,12:32
S. Korea,"9,478",144,"4,811","4,523",28-03-2020,12:32
Netherlands,"8,603",546,3,"8,054",28-03-2020,12:32
Austria,"7,712",58,225,"7,429",28-03-2020,12:32
Belgium,"7,284",289,858,"6,137",28-03-2020,12:32
Turkey,"5,698",92,42,"5,564",28-03-2020,12:32
Canada,"4,757",55,354,"4,348",28-03-2020,12:32
Portugal,"4,268",76,43,"4,149",28-03-2020,12:32
Norway,"3,780",19,7,"3,754",28-03-2020,12:32
Australia,"3,635",14,170,"3,451",28-03-2020,12:32
Brazil,"3,477",93,6,"3,378",28-03-2020,12:32
Israel,"3,460",12,89,"3,359",28-03-2020,12:32
Sweden,"3,069",105,16,"2,948",28-03-2020,12:32
Czechia,"2,279",9,11,"2,259",28-03-2020,12:32
Malaysia,"2,161",26,259,"1,876",28-03-2020,12:32
Ireland,"2,121",22,5,"2,094",28-03-2020,12:32
Denmark,"2,046",52,1,"1,993",28-03-2020,12:32
Ecuador,"1,627",41,3,"1,583",28-03-2020,12:32
Chile,"1,610",5,43,"1,562",28-03-2020,12:32
Luxembourg,"1,605",15,40,"1,550",28-03-2020,12:32
Japan,"1,499",49,372,"1,078",28-03-2020,12:32
Poland,"1,436",16,7,"1,413",28-03-2020,12:32
Pakistan,"1,408",11,25,"1,372",28-03-2020,12:32
Romania,"1,292",26,115,"1,151",28-03-2020,12:32
Russia,"1,264",4,49,"1,211",28-03-2020,12:32
Thailand,"1,245",6,97,"1,142",28-03-2020,12:32
South Africa,"1,170",1,31,"1,138",28-03-2020,12:32
Finland,"1,165",7,10,"1,148",28-03-2020,12:32
Indonesia,"1,155",102,59,994,28-03-2020,12:32
Saudi Arabia,"1,104",3,35,"1,066",28-03-2020,12:32
Greece,966,28,52,886,28-03-2020,12:32
India,918,20,83,815,28-03-2020,12:32
Iceland,890,2,97,791,28-03-2020,12:32
Philippines,803,54,31,718,28-03-2020,12:32
Panama,786,14,2,770,28-03-2020,12:32
Singapore,732,2,183,547,28-03-2020,12:32
Mexico,717,12,4,701,28-03-2020,12:32
Diamond Princess,712,10,597,105,28-03-2020,12:32
Argentina,690,17,72,601,28-03-2020,12:32
Peru,635,11,16,608,28-03-2020,12:32
Croatia,635,4,45,586,28-03-2020,12:32
Slovenia,632,9,10,613,28-03-2020,12:32
Dominican Republic,581,20,3,558,28-03-2020,12:32
Estonia,575,1,11,563,28-03-2020,12:32
Qatar,562,,43,519,28-03-2020,12:32
Colombia,539,6,10,523,28-03-2020,12:32
Egypt,536,30,116,390,28-03-2020,12:32
Serbia,528,8,42,478,28-03-2020,12:32
Hong Kong,519,4,111,404,28-03-2020,12:32
Bahrain,473,4,254,215,28-03-2020,12:32
Iraq,458,40,122,296,28-03-2020,12:32
New Zealand,451,,50,401,28-03-2020,12:32
Algeria,409,26,29,354,28-03-2020,12:32
UAE,405,2,52,351,28-03-2020,12:32
Lebanon,391,8,27,356,28-03-2020,12:32
Lithuania,382,5,1,376,28-03-2020,12:32
Armenia,372,1,28,343,28-03-2020,12:32
Morocco,358,23,11,324,28-03-2020,12:32
Hungary,343,11,34,298,28-03-2020,12:32
Bulgaria,313,4,9,300,28-03-2020,12:32
Ukraine,311,8,5,298,28-03-2020,12:32
Latvia,305,,1,304,28-03-2020,12:32
Taiwan,283,2,30,251,28-03-2020,12:32
Uruguay,274,,,274,28-03-2020,12:32
Slovakia,269,,2,267,28-03-2020,12:32
Andorra,267,3,1,263,28-03-2020,12:32
Costa Rica,263,2,3,258,28-03-2020,12:32
Bosnia and Herzegovina,237,4,5,228,28-03-2020,12:32
Jordan,235,1,18,216,28-03-2020,12:32
Tunisia,227,7,2,218,28-03-2020,12:32
Kuwait,225,,57,168,28-03-2020,12:32
San Marino,223,21,6,196,28-03-2020,12:32
North Macedonia,219,3,3,213,28-03-2020,12:32
Kazakhstan,204,1,14,189,28-03-2020,12:32
Moldova,199,2,2,195,28-03-2020,12:32
Albania,186,8,31,147,28-03-2020,12:32
Burkina Faso,180,9,12,159,28-03-2020,12:32
Vietnam,169,,20,149,28-03-2020,12:32
Azerbaijan,165,3,15,147,28-03-2020,12:32
Cyprus,162,5,15,142,28-03-2020,12:32
Oman,152,,23,129,28-03-2020,12:32
Réunion,145,,1,144,28-03-2020,12:32
Faeroe Islands,144,,54,90,28-03-2020,12:32
Malta,139,,2,137,28-03-2020,12:32
Ghana,137,4,2,131,28-03-2020,12:32
Senegal,119,,11,108,28-03-2020,12:32
Brunei,115,1,11,103,28-03-2020,12:32
Venezuela,113,2,31,80,28-03-2020,12:32
Afghanistan,110,4,2,104,28-03-2020,12:32
Sri Lanka,106,,9,97,28-03-2020,12:32
Uzbekistan,104,2,5,97,28-03-2020,12:32
Ivory Coast,101,,3,98,28-03-2020,12:32
Cambodia,99,,13,86,28-03-2020,12:32
Honduras,95,1,3,91,28-03-2020,12:32
Mauritius,94,2,,92,28-03-2020,12:32
Belarus,94,,32,62,28-03-2020,12:32
Martinique,93,1,,92,28-03-2020,12:32
Cameroon,91,2,2,87,28-03-2020,12:32
Palestine,91,1,17,73,28-03-2020,12:32
Channel Islands,88,1,,87,28-03-2020,12:32
Georgia,85,,14,71,28-03-2020,12:32
Montenegro,82,1,,81,28-03-2020,12:32
Nigeria,81,1,3,77,28-03-2020,12:32
Cuba,80,2,4,74,28-03-2020,12:32
Bolivia,74,,,74,28-03-2020,12:32
Guadeloupe,73,1,,72,28-03-2020,12:32
Trinidad and Tobago,66,2,1,63,28-03-2020,12:32
Kyrgyzstan,58,,,58,28-03-2020,12:32
Paraguay,56,3,1,52,28-03-2020,12:32
Liechtenstein,56,,,56,28-03-2020,12:32
Gibraltar,55,,14,41,28-03-2020,12:32
Rwanda,54,,,54,28-03-2020,12:32
DRC,51,3,2,46,28-03-2020,12:32
Mayotte,50,,,50,28-03-2020,12:32
Bangladesh,48,5,15,28,28-03-2020,12:32
Monaco,42,,1,41,28-03-2020,12:32
Macao,34,,10,24,28-03-2020,12:32
Aruba,33,,1,32,28-03-2020,12:32
Guatemala,32,1,4,27,28-03-2020,12:32
Kenya,31,1,1,29,28-03-2020,12:32
Jamaica,30,1,2,27,28-03-2020,12:32
French Polynesia,30,,,30,28-03-2020,12:32
Isle of Man,29,,,29,28-03-2020,12:32
French Guiana,28,,6,22,28-03-2020,12:32
Barbados,26,,,26,28-03-2020,12:32
Madagascar,26,,,26,28-03-2020,12:32
Togo,25,1,1,23,28-03-2020,12:32
Uganda,23,,,23,28-03-2020,12:32
Zambia,22,,,22,28-03-2020,12:32
El Salvador,19,,,19,28-03-2020,12:32
Bermuda,17,,2,15,28-03-2020,12:32
Ethiopia,16,,,16,28-03-2020,12:32
Maldives,16,,9,7,28-03-2020,12:32
New Caledonia,15,,,15,28-03-2020,12:32
Tanzania,13,,1,12,28-03-2020,12:32
Djibouti,12,,,12,28-03-2020,12:32
Equatorial Guinea,12,,,12,28-03-2020,12:32
Mongolia,12,,,12,28-03-2020,12:32
Dominica,11,,,11,28-03-2020,12:32
Mali,11,,,11,28-03-2020,12:32
Saint Martin,11,,,11,28-03-2020,12:32
Niger,10,1,,9,28-03-2020,12:32
Bahamas,10,,1,9,28-03-2020,12:32
Greenland,10,,2,8,28-03-2020,12:32
Eswatini,9,,,9,28-03-2020,12:32
Cayman Islands,8,1,,7,28-03-2020,12:32
Curaçao,8,1,2,5,28-03-2020,12:32
Guinea,8,,,8,28-03-2020,12:32
Haiti,8,,,8,28-03-2020,12:32
Myanmar,8,,,8,28-03-2020,12:32
Namibia,8,,2,6,28-03-2020,12:32
Suriname,8,,,8,28-03-2020,12:32
Gabon,7,1,,6,28-03-2020,12:32
Antigua and Barbuda,7,,,7,28-03-2020,12:32
Grenada,7,,,7,28-03-2020,12:32
Mozambique,7,,,7,28-03-2020,12:32
Seychelles,7,,,7,28-03-2020,12:32
Benin,6,,,6,28-03-2020,12:32
Eritrea,6,,,6,28-03-2020,12:32
Laos,6,,,6,28-03-2020,12:32
Cabo Verde,5,1,,4,28-03-2020,12:32
Guyana,5,1,,4,28-03-2020,12:32
Sudan,5,1,,4,28-03-2020,12:32
Zimbabwe,5,1,,4,28-03-2020,12:32
Fiji,5,,,5,28-03-2020,12:32
Mauritania,5,,,5,28-03-2020,12:32
Montserrat,5,,,5,28-03-2020,12:32
St. Barth,5,,,5,28-03-2020,12:32
Syria,5,,,5,28-03-2020,12:32
Nicaragua,4,1,,3,28-03-2020,12:32
Nepal,4,,1,3,28-03-2020,12:32
Angola,4,,,4,28-03-2020,12:32
Congo,4,,,4,28-03-2020,12:32
Vatican City,4,,,4,28-03-2020,12:32
Gambia,3,1,,2,28-03-2020,12:32
Bhutan,3,,,3,28-03-2020,12:32
CAR,3,,,3,28-03-2020,12:32
Chad,3,,,3,28-03-2020,12:32
