Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"710,290","33,550","150,734","526,006",29-03-2020,21:17
USA,"135,510","2,384","4,378","128,748",29-03-2020,21:17
Italy,"97,689","10,779","13,030","73,880",29-03-2020,21:17
China,"81,439","3,300","75,448","2,691",29-03-2020,21:17
Spain,"78,799","6,606","14,709","57,484",29-03-2020,21:17
Germany,"60,659",482,"9,211","50,966",29-03-2020,21:17
France,"40,174","2,606","7,202","30,366",29-03-2020,21:17
Iran,"38,309","2,640","12,391","23,278",29-03-2020,21:17
UK,"19,522","1,228",135,"18,159",29-03-2020,21:17
Switzerland,"14,829",300,"1,595","12,934",29-03-2020,21:17
Netherlands,"10,866",771,250,"9,845",29-03-2020,21:17
Belgium,"10,836",431,"1,359","9,046",29-03-2020,21:17
S. Korea,"9,583",152,"5,033","4,398",29-03-2020,21:17
Turkey,"9,217",131,105,"8,981",29-03-2020,21:17
Austria,"8,711",86,479,"8,146",29-03-2020,21:17
Canada,"6,243",63,508,"5,672",29-03-2020,21:17
Portugal,"5,962",119,43,"5,800",29-03-2020,21:17
Norway,"4,245",25,7,"4,213",29-03-2020,21:17
Brazil,"4,065",118,6,"3,941",29-03-2020,21:17
Australia,"3,980",16,226,"3,738",29-03-2020,21:17
Israel,"3,865",15,89,"3,761",29-03-2020,21:17
Sweden,"3,700",110,16,"3,574",29-03-2020,21:17
Czechia,"2,743",16,11,"2,716",29-03-2020,21:17
Ireland,"2,615",46,5,"2,564",29-03-2020,21:17
Malaysia,"2,470",35,388,"2,047",29-03-2020,21:17
Denmark,"2,395",72,1,"2,322",29-03-2020,21:17
Chile,"2,139",7,75,"2,057",29-03-2020,21:17
Luxembourg,"1,950",21,40,"1,889",29-03-2020,21:17
Ecuador,"1,890",57,3,"1,830",29-03-2020,21:17
Japan,"1,866",54,424,"1,388",29-03-2020,21:17
Poland,"1,771",20,7,"1,744",29-03-2020,21:17
Romania,"1,760",42,169,"1,549",29-03-2020,21:17
Russia,"1,534",8,64,"1,462",29-03-2020,21:17
Pakistan,"1,526",14,29,"1,483",29-03-2020,21:17
Philippines,"1,418",71,42,"1,305",29-03-2020,21:17
Thailand,"1,388",7,97,"1,284",29-03-2020,21:17
Saudi Arabia,"1,299",8,66,"1,225",29-03-2020,21:17
Indonesia,"1,285",114,64,"1,107",29-03-2020,21:17
Finland,"1,240",11,10,"1,219",29-03-2020,21:17
South Africa,"1,187",1,31,"1,155",29-03-2020,21:17
Greece,"1,156",38,52,"1,066",29-03-2020,21:17
India,"1,024",27,95,902,29-03-2020,21:17
Iceland,"1,020",2,114,904,29-03-2020,21:17
Panama,901,17,4,880,29-03-2020,21:17
Dominican Republic,859,39,3,817,29-03-2020,21:17
Peru,852,18,16,818,29-03-2020,21:17
Mexico,848,16,4,828,29-03-2020,21:17
Singapore,844,3,212,629,29-03-2020,21:17
Argentina,745,19,72,654,29-03-2020,21:17
Serbia,741,13,42,686,29-03-2020,21:17
Slovenia,730,11,10,709,29-03-2020,21:17
Croatia,713,6,52,655,29-03-2020,21:17
Diamond Princess,712,10,597,105,29-03-2020,21:17
Estonia,679,3,20,656,29-03-2020,21:17
Hong Kong,641,4,118,519,29-03-2020,21:17
Qatar,634,1,48,585,29-03-2020,21:17
Colombia,608,6,10,592,29-03-2020,21:17
Egypt,576,36,121,419,29-03-2020,21:17
UAE,570,3,58,509,29-03-2020,21:17
Iraq,547,42,143,362,29-03-2020,21:17
New Zealand,514,1,56,457,29-03-2020,21:17
Algeria,511,31,31,449,29-03-2020,21:17
Bahrain,499,4,272,223,29-03-2020,21:17
Morocco,463,26,13,424,29-03-2020,21:17
Lebanon,438,10,30,398,29-03-2020,21:17
Lithuania,437,7,1,429,29-03-2020,21:17
Armenia,424,3,30,391,29-03-2020,21:17
Ukraine,418,9,5,404,29-03-2020,21:17
Hungary,408,13,34,361,29-03-2020,21:17
Latvia,347,,1,346,29-03-2020,21:17
Bulgaria,346,8,14,324,29-03-2020,21:17
Andorra,334,6,1,327,29-03-2020,21:17
Bosnia and Herzegovina,323,6,8,309,29-03-2020,21:17
Slovakia,314,,2,312,29-03-2020,21:17
Uruguay,304,1,,303,29-03-2020,21:17
Taiwan,298,2,39,257,29-03-2020,21:17
Costa Rica,295,2,3,290,29-03-2020,21:17
Tunisia,278,8,2,268,29-03-2020,21:17
Moldova,263,2,2,259,29-03-2020,21:17
North Macedonia,259,6,3,250,29-03-2020,21:17
Jordan,259,2,18,239,29-03-2020,21:17
Kuwait,255,,67,188,29-03-2020,21:17
Kazakhstan,251,1,18,232,29-03-2020,21:17
San Marino,224,22,6,196,29-03-2020,21:17
Burkina Faso,222,12,23,187,29-03-2020,21:17
Cyprus,214,5,15,194,29-03-2020,21:17
Albania,212,10,33,169,29-03-2020,21:17
Azerbaijan,209,4,15,190,29-03-2020,21:17
Vietnam,188,,25,163,29-03-2020,21:17
Réunion,183,,1,182,29-03-2020,21:17
Oman,167,,23,144,29-03-2020,21:17
Faeroe Islands,159,,70,89,29-03-2020,21:17
Ghana,152,5,2,145,29-03-2020,21:17
Malta,151,,2,149,29-03-2020,21:17
Uzbekistan,144,2,7,135,29-03-2020,21:17
Senegal,142,,27,115,29-03-2020,21:17
Ivory Coast,140,,3,137,29-03-2020,21:17
Cuba,139,3,4,132,29-03-2020,21:17
Brunei,126,1,34,91,29-03-2020,21:17
Afghanistan,120,4,2,114,29-03-2020,21:17
Venezuela,119,2,39,78,29-03-2020,21:17
Sri Lanka,117,1,11,105,29-03-2020,21:17
Honduras,110,2,3,105,29-03-2020,21:17
Palestine,108,1,18,89,29-03-2020,21:17
Mauritius,107,2,,105,29-03-2020,21:17
Cambodia,103,,21,82,29-03-2020,21:17
Guadeloupe,102,2,17,83,29-03-2020,21:17
Channel Islands,100,2,,98,29-03-2020,21:17
Nigeria,97,1,3,93,29-03-2020,21:17
Belarus,94,,32,62,29-03-2020,21:17
Martinique,93,1,,92,29-03-2020,21:17
Cameroon,91,2,2,87,29-03-2020,21:17
Georgia,91,,18,73,29-03-2020,21:17
Montenegro,85,1,,84,29-03-2020,21:17
Kyrgyzstan,84,,,84,29-03-2020,21:17
Bolivia,81,1,,80,29-03-2020,21:17
Trinidad and Tobago,76,3,1,72,29-03-2020,21:17
DRC,65,6,2,57,29-03-2020,21:17
Gibraltar,65,,14,51,29-03-2020,21:17
Mayotte,63,,,63,29-03-2020,21:17
Rwanda,60,,,60,29-03-2020,21:17
Paraguay,56,3,1,52,29-03-2020,21:17
Liechtenstein,56,,,56,29-03-2020,21:17
Bangladesh,48,5,15,28,29-03-2020,21:17
Aruba,46,,1,45,29-03-2020,21:17
Monaco,43,1,1,41,29-03-2020,21:17
Kenya,42,1,1,40,29-03-2020,21:17
Isle of Man,42,,,42,29-03-2020,21:17
Madagascar,39,,,39,29-03-2020,21:17
Macao,37,,10,27,29-03-2020,21:17
Guatemala,34,1,10,23,29-03-2020,21:17
Jamaica,32,1,2,29,29-03-2020,21:17
French Polynesia,30,,,30,29-03-2020,21:17
Uganda,30,,,30,29-03-2020,21:17
Zambia,29,,,29,29-03-2020,21:17
French Guiana,28,,6,22,29-03-2020,21:17
Barbados,26,,,26,29-03-2020,21:17
Togo,25,1,1,23,29-03-2020,21:17
El Salvador,24,,,24,29-03-2020,21:17
Bermuda,22,,2,20,29-03-2020,21:17
Ethiopia,21,,1,20,29-03-2020,21:17
Congo,19,,,19,29-03-2020,21:17
Mali,18,1,,17,29-03-2020,21:17
Niger,18,1,,17,29-03-2020,21:17
Maldives,17,,11,6,29-03-2020,21:17
Guinea,16,,,16,29-03-2020,21:17
Haiti,15,,1,14,29-03-2020,21:17
New Caledonia,15,,,15,29-03-2020,21:17
Djibouti,14,,,14,29-03-2020,21:17
Tanzania,14,,1,13,29-03-2020,21:17
Equatorial Guinea,12,,,12,29-03-2020,21:17
Mongolia,12,,,12,29-03-2020,21:17
Bahamas,11,,1,10,29-03-2020,21:17
Dominica,11,,,11,29-03-2020,21:17
Namibia,11,,2,9,29-03-2020,21:17
Saint Martin,11,,,11,29-03-2020,21:17
Greenland,10,,2,8,29-03-2020,21:17
