Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
China,"81,054","3,261","72,440","5,353",22-03-2020,11:14
Italy,"53,578","4,825","6,072","42,681",22-03-2020,11:14
USA,"26,892",348,178,"26,366",22-03-2020,11:14
Spain,"25,496","1,381","2,125","21,990",22-03-2020,11:14
Germany,"22,364",84,209,"22,071",22-03-2020,11:14
Iran,"20,610","1,556","7,635","11,419",22-03-2020,11:14
France,"14,459",562,"1,587","12,310",22-03-2020,11:14
S. Korea,"8,897",104,"2,909","5,884",22-03-2020,11:14
Switzerland,"6,863",80,131,"6,652",22-03-2020,11:14
UK,"5,018",233,93,"4,692",22-03-2020,11:14
Netherlands,"3,631",136,2,"3,493",22-03-2020,11:14
Austria,"3,024",8,9,"3,007",22-03-2020,11:14
Belgium,"2,815",67,263,"2,485",22-03-2020,11:14
Norway,"2,169",7,6,"2,156",22-03-2020,11:14
Sweden,"1,770",20,16,"1,734",22-03-2020,11:14
Canada,"1,328",19,14,"1,295",22-03-2020,11:14
Denmark,"1,326",13,1,"1,312",22-03-2020,11:14
Australia,"1,286",7,46,"1,233",22-03-2020,11:14
Portugal,"1,280",12,5,"1,263",22-03-2020,11:14
Malaysia,"1,183",9,114,"1,060",22-03-2020,11:14
Brazil,"1,178",18,2,"1,158",22-03-2020,11:14
Japan,"1,054",36,215,803,22-03-2020,11:14
Czechia,995,,6,989,22-03-2020,11:14
Turkey,947,21,,926,22-03-2020,11:14
Israel,883,1,36,846,22-03-2020,11:14
Ireland,785,3,5,777,22-03-2020,11:14
Diamond Princess,712,8,567,137,22-03-2020,11:14
Luxembourg,670,8,6,656,22-03-2020,11:14
Pakistan,645,3,13,629,22-03-2020,11:14
Thailand,599,1,44,554,22-03-2020,11:14
Chile,537,1,8,528,22-03-2020,11:14
Poland,536,5,13,518,22-03-2020,11:14
Ecuador,532,7,3,522,22-03-2020,11:14
Greece,530,13,19,498,22-03-2020,11:14
Finland,523,1,10,512,22-03-2020,11:14
Qatar,481,,27,454,22-03-2020,11:14
Iceland,473,1,5,467,22-03-2020,11:14
Indonesia,450,38,20,392,22-03-2020,11:14
Singapore,432,2,140,290,22-03-2020,11:14
Saudi Arabia,392,,16,376,22-03-2020,11:14
Slovenia,383,1,,382,22-03-2020,11:14
Philippines,380,25,15,340,22-03-2020,11:14
Romania,367,,52,315,22-03-2020,11:14
India,332,5,24,303,22-03-2020,11:14
Peru,318,5,1,312,22-03-2020,11:14
Bahrain,310,1,125,184,22-03-2020,11:14
Russia,306,1,16,289,22-03-2020,11:14
Estonia,306,,2,304,22-03-2020,11:14
Egypt,294,10,42,242,22-03-2020,11:14
Hong Kong,274,4,100,170,22-03-2020,11:14
Mexico,251,2,4,245,22-03-2020,11:14
Panama,245,3,1,241,22-03-2020,11:14
South Africa,240,,2,238,22-03-2020,11:14
Lebanon,230,4,8,218,22-03-2020,11:14
Argentina,225,4,27,194,22-03-2020,11:14
Iraq,214,17,51,146,22-03-2020,11:14
Colombia,210,1,3,206,22-03-2020,11:14
Croatia,206,1,5,200,22-03-2020,11:14
Armenia,190,,2,188,22-03-2020,11:14
Serbia,188,1,2,185,22-03-2020,11:14
Slovakia,178,,7,171,22-03-2020,11:14
Kuwait,176,,27,149,22-03-2020,11:14
Bulgaria,163,3,3,157,22-03-2020,11:14
San Marino,160,20,4,136,22-03-2020,11:14
Taiwan,153,2,28,123,22-03-2020,11:14
UAE,153,2,38,113,22-03-2020,11:14
Algeria,139,15,65,59,22-03-2020,11:14
Uruguay,135,,,135,22-03-2020,11:14
Hungary,131,4,7,120,22-03-2020,11:14
Latvia,124,,1,123,22-03-2020,11:14
Costa Rica,117,2,2,113,22-03-2020,11:14
Dominican Republic,112,3,,109,22-03-2020,11:14
Lithuania,105,1,1,103,22-03-2020,11:14
Jordan,100,,1,99,22-03-2020,11:14
Morocco,96,3,3,90,22-03-2020,11:14
Vietnam,94,,17,77,22-03-2020,11:14
Bosnia and Herzegovina,93,1,2,90,22-03-2020,11:14
Faeroe Islands,92,,3,89,22-03-2020,11:14
Andorra,88,,1,87,22-03-2020,11:14
North Macedonia,85,,1,84,22-03-2020,11:14
Cyprus,84,1,3,80,22-03-2020,11:14
Brunei,83,,1,82,22-03-2020,11:14
Moldova,80,1,1,78,22-03-2020,11:14
Sri Lanka,77,,3,74,22-03-2020,11:14
Albania,76,2,2,72,22-03-2020,11:14
Belarus,76,,15,61,22-03-2020,11:14
Malta,73,,2,71,22-03-2020,11:14
Venezuela,70,,15,55,22-03-2020,11:14
New Zealand,66,,,66,22-03-2020,11:14
Burkina Faso,64,3,5,56,22-03-2020,11:14
Tunisia,60,1,1,58,22-03-2020,11:14
Guadeloupe,56,1,,55,22-03-2020,11:14
Senegal,56,,5,51,22-03-2020,11:14
Georgia,54,,1,53,22-03-2020,11:14
Kazakhstan,54,,,54,22-03-2020,11:14
Azerbaijan,53,1,11,41,22-03-2020,11:14
Cambodia,53,,2,51,22-03-2020,11:14
Palestine,53,,17,36,22-03-2020,11:14
Oman,52,,13,39,22-03-2020,11:14
Trinidad and Tobago,49,,,49,22-03-2020,11:14
Ukraine,47,3,1,43,22-03-2020,11:14
Réunion,47,,,47,22-03-2020,11:14
Uzbekistan,42,,,42,22-03-2020,11:14
Cameroon,40,,2,38,22-03-2020,11:14
Martinique,37,1,,36,22-03-2020,11:14
Liechtenstein,37,,,37,22-03-2020,11:14
Channel Islands,32,,,32,22-03-2020,11:14
Honduras,26,,,26,22-03-2020,11:14
Bangladesh,24,2,3,19,22-03-2020,11:14
Afghanistan,24,,1,23,22-03-2020,11:14
DRC,23,1,,22,22-03-2020,11:14
Paraguay,22,1,,21,22-03-2020,11:14
Nigeria,22,,1,21,22-03-2020,11:14
Cuba,21,1,,20,22-03-2020,11:14
Ghana,21,1,,20,22-03-2020,11:14
Puerto Rico,21,1,,20,22-03-2020,11:14
Jamaica,19,1,2,16,22-03-2020,11:14
Macao,19,,10,9,22-03-2020,11:14
Bolivia,19,,,19,22-03-2020,11:14
Guyana,18,1,,17,22-03-2020,11:14
Monaco,18,,1,17,22-03-2020,11:14
