Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"2,102,630","136,116","525,436","1,441,078",16-04-2020,16:32
Europe,"983,784","89,583","269,543","624,658",16-04-2020,16:32
North America,"689,843","30,468","60,737","598,638",16-04-2020,16:32
USA,"644,806","28,572","48,710","567,524",16-04-2020,16:32
Asia,"338,442","12,259","163,677","162,506",16-04-2020,16:32
Spain,"182,816","19,130","74,797","88,889",16-04-2020,16:32
Italy,"165,155","21,645","38,092","105,418",16-04-2020,16:32
France,"147,863","17,167","30,955","99,741",16-04-2020,16:32
Germany,"135,230","3,849","77,000","54,381",16-04-2020,16:32
UK,"98,476","12,868",N/A,"85,264",16-04-2020,16:32
China,"82,341","3,342","77,892","1,107",16-04-2020,16:32
Iran,"77,995","4,869","52,229","20,897",16-04-2020,16:32
Turkey,"69,392","1,518","5,674","62,200",16-04-2020,16:32
South America,"63,764","2,804","22,427","38,533",16-04-2020,16:32
Belgium,"34,809","4,857","7,562","22,390",16-04-2020,16:32
Netherlands,"29,214","3,315",250,"25,649",16-04-2020,16:32
Brazil,"29,015","1,760","14,026","13,229",16-04-2020,16:32
Canada,"28,379","1,010","8,979","18,390",16-04-2020,16:32
Russia,"27,938",232,"2,304","25,402",16-04-2020,16:32
Switzerland,"26,732","1,269","15,400","10,063",16-04-2020,16:32
Portugal,"18,841",629,493,"17,719",16-04-2020,16:32
Africa,"18,115",916,"3,890","13,309",16-04-2020,16:32
Austria,"14,412",393,"8,098","5,921",16-04-2020,16:32
India,"12,759",423,"1,514","10,822",16-04-2020,16:32
Israel,"12,591",140,"2,624","9,827",16-04-2020,16:32
Ireland,"12,547",444,77,"12,026",16-04-2020,16:32
Sweden,"12,540","1,333",381,"10,826",16-04-2020,16:32
Peru,"11,475",254,"3,108","8,113",16-04-2020,16:32
S. Korea,"10,613",229,"7,757","2,627",16-04-2020,16:32
Japan,"8,626",178,901,"7,547",16-04-2020,16:32
Chile,"8,273",94,"2,937","5,242",16-04-2020,16:32
Oceania,"7,961",72,"4,518","3,371",16-04-2020,16:32
Ecuador,"7,858",388,780,"6,690",16-04-2020,16:32
Poland,"7,771",292,774,"6,705",16-04-2020,16:32
Romania,"7,707",392,"1,357","5,958",16-04-2020,16:32
Pakistan,"6,919",128,"1,645","5,146",16-04-2020,16:32
Denmark,"6,879",321,"3,023","3,535",16-04-2020,16:32
Norway,"6,798",150,32,"6,616",16-04-2020,16:32
Australia,"6,468",63,"3,747","2,658",16-04-2020,16:32
Saudi Arabia,"6,380",83,990,"5,307",16-04-2020,16:32
Czechia,"6,303",166,831,"5,306",16-04-2020,16:32
Mexico,"5,847",449,"2,125","3,273",16-04-2020,16:32
Philippines,"5,660",362,435,"4,863",16-04-2020,16:32
Indonesia,"5,516",496,548,"4,472",16-04-2020,16:32
UAE,"5,365",33,"1,034","4,298",16-04-2020,16:32
Serbia,"5,318",103,443,"4,772",16-04-2020,16:32
Malaysia,"5,182",84,"2,766","2,332",16-04-2020,16:32
Belarus,"4,204",40,203,"3,961",16-04-2020,16:32
Ukraine,"4,161",116,186,"3,859",16-04-2020,16:32
Qatar,"4,103",7,415,"3,681",16-04-2020,16:32
Panama,"3,751",103,75,"3,573",16-04-2020,16:32
Singapore,"3,699",10,652,"3,037",16-04-2020,16:32
Dominican Republic,"3,614",189,208,"3,217",16-04-2020,16:32
Luxembourg,"3,373",69,526,"2,778",16-04-2020,16:32
Finland,"3,369",75,"1,700","1,594",16-04-2020,16:32
Colombia,"3,105",131,452,"2,522",16-04-2020,16:32
Thailand,"2,672",46,"1,593","1,033",16-04-2020,16:32
Argentina,"2,571",115,631,"1,825",16-04-2020,16:32
South Africa,"2,506",34,410,"2,062",16-04-2020,16:32
Egypt,"2,505",183,589,"1,733",16-04-2020,16:32
Morocco,"2,251",128,247,"1,876",16-04-2020,16:32
Greece,"2,192",102,269,"1,821",16-04-2020,16:32
Algeria,"2,160",336,708,"1,116",16-04-2020,16:32
Moldova,"2,049",51,235,"1,763",16-04-2020,16:32
Croatia,"1,791",35,529,"1,227",16-04-2020,16:32
Iceland,"1,727",8,"1,077",642,16-04-2020,16:32
Bahrain,"1,698",7,703,988,16-04-2020,16:32
Hungary,"1,652",142,199,"1,311",16-04-2020,16:32
Bangladesh,"1,572",60,49,"1,463",16-04-2020,16:32
Kuwait,"1,524",3,225,"1,296",16-04-2020,16:32
Estonia,"1,434",36,133,"1,265",16-04-2020,16:32
Iraq,"1,415",79,812,524,16-04-2020,16:32
New Zealand,"1,401",9,770,622,16-04-2020,16:32
Kazakhstan,"1,362",17,273,"1,072",16-04-2020,16:32
Uzbekistan,"1,349",4,129,"1,216",16-04-2020,16:32
Azerbaijan,"1,283",15,460,808,16-04-2020,16:32
Slovenia,"1,268",61,174,"1,033",16-04-2020,16:32
Bosnia and Herzegovina,"1,167",43,277,847,16-04-2020,16:32
Armenia,"1,159",18,358,783,16-04-2020,16:32
Lithuania,"1,128",30,178,920,16-04-2020,16:32
Oman,"1,019",4,176,839,16-04-2020,16:32
Hong Kong,"1,018",4,485,529,16-04-2020,16:32
Slovakia,977,8,167,802,16-04-2020,16:32
North Macedonia,974,45,98,831,16-04-2020,16:32
Cameroon,848,17,165,666,16-04-2020,16:32
Afghanistan,840,30,54,756,16-04-2020,16:32
Cuba,814,24,151,639,16-04-2020,16:32
Bulgaria,783,37,122,624,16-04-2020,16:32
Tunisia,780,35,43,702,16-04-2020,16:32
,721,14,644,63,16-04-2020,16:32
Cyprus,715,12,65,638,16-04-2020,16:32
Diamond Princess,712,12,644,56,16-04-2020,16:32
Latvia,675,5,57,613,16-04-2020,16:32
Andorra,673,33,169,471,16-04-2020,16:32
Lebanon,663,21,85,557,16-04-2020,16:32
Ivory Coast,654,6,146,502,16-04-2020,16:32
Ghana,641,8,83,550,16-04-2020,16:32
Costa Rica,626,4,67,555,16-04-2020,16:32
Niger,584,14,90,480,16-04-2020,16:32
Burkina Faso,542,32,226,284,16-04-2020,16:32
Albania,518,26,277,215,16-04-2020,16:32
