Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"1,599,822","95,531","355,511","1,148,780",10-04-2020,02:30
Europe,"778,852","65,818","185,320","527,714",10-04-2020,02:30
North America,"497,343","17,523","31,518","448,302",10-04-2020,02:30
USA,"465,689","16,548","25,156","423,985",10-04-2020,02:30
Asia,"263,217","9,891","128,941","124,385",10-04-2020,02:30
Spain,"153,222","15,447","52,165","85,610",10-04-2020,02:30
Italy,"143,626","18,279","28,470","96,877",10-04-2020,02:30
Germany,"118,235","2,607","52,407","63,221",10-04-2020,02:30
France,"117,749","12,210","23,206","82,333",10-04-2020,02:30
China,"81,865","3,335","77,370","1,160",10-04-2020,02:30
Iran,"66,220","4,110","32,309","29,801",10-04-2020,02:30
UK,"65,077","7,978",135,"56,964",10-04-2020,02:30
Turkey,"42,282",908,"2,142","39,232",10-04-2020,02:30
South America,"39,453","1,604","4,115","33,734",10-04-2020,02:30
Belgium,"24,983","2,523","5,164","17,296",10-04-2020,02:30
Switzerland,"24,051",948,"10,600","12,503",10-04-2020,02:30
Netherlands,"21,762","2,396",250,"19,116",10-04-2020,02:30
Canada,"20,765",509,"5,311","14,945",10-04-2020,02:30
Brazil,"18,092",950,173,"16,969",10-04-2020,02:30
Portugal,"13,956",409,205,"13,342",10-04-2020,02:30
Austria,"13,244",295,"5,240","7,709",10-04-2020,02:30
Africa,"12,807",630,"1,693","10,484",10-04-2020,02:30
S. Korea,"10,423",204,"6,973","3,246",10-04-2020,02:30
Russia,"10,131",76,698,"9,357",10-04-2020,02:30
Israel,"9,968",86,"1,011","8,871",10-04-2020,02:30
Sweden,"9,141",793,205,"8,143",10-04-2020,02:30
Oceania,"7,429",52,"3,305","4,072",10-04-2020,02:30
India,"6,725",226,620,"5,879",10-04-2020,02:30
Ireland,"6,574",263,25,"6,286",10-04-2020,02:30
Norway,"6,219",108,32,"6,079",10-04-2020,02:30
Australia,"6,104",51,"2,987","3,066",10-04-2020,02:30
Chile,"5,972",57,"1,274","4,641",10-04-2020,02:30
Denmark,"5,635",237,"1,736","3,662",10-04-2020,02:30
Poland,"5,575",174,284,"5,117",10-04-2020,02:30
Czechia,"5,569",112,301,"5,156",10-04-2020,02:30
Peru,"5,256",138,"1,438","3,680",10-04-2020,02:30
Romania,"5,202",248,647,"4,307",10-04-2020,02:30
Ecuador,"4,965",272,339,"4,354",10-04-2020,02:30
Japan,"4,667",94,632,"3,941",10-04-2020,02:30
Pakistan,"4,489",65,572,"3,852",10-04-2020,02:30
Malaysia,"4,228",67,"1,608","2,553",10-04-2020,02:30
Philippines,"4,076",203,124,"3,749",10-04-2020,02:30
Indonesia,"3,293",280,252,"2,761",10-04-2020,02:30
Saudi Arabia,"3,287",44,666,"2,577",10-04-2020,02:30
Mexico,"3,181",174,633,"2,374",10-04-2020,02:30
Luxembourg,"3,115",52,500,"2,563",10-04-2020,02:30
UAE,"2,990",14,268,"2,708",10-04-2020,02:30
Serbia,"2,867",66,118,"2,683",10-04-2020,02:30
Panama,"2,752",66,16,"2,670",10-04-2020,02:30
Finland,"2,605",42,300,"2,263",10-04-2020,02:30
Thailand,"2,423",32,940,"1,451",10-04-2020,02:30
Qatar,"2,376",6,206,"2,164",10-04-2020,02:30
Dominican Republic,"2,349",118,80,"2,151",10-04-2020,02:30
Colombia,"2,223",69,174,"1,980",10-04-2020,02:30
Greece,"1,955",87,269,"1,599",10-04-2020,02:30
South Africa,"1,934",18,95,"1,821",10-04-2020,02:30
Singapore,"1,910",7,460,"1,443",10-04-2020,02:30
Ukraine,"1,892",57,45,"1,790",10-04-2020,02:30
Argentina,"1,795",72,365,"1,358",10-04-2020,02:30
Egypt,"1,699",118,348,"1,233",10-04-2020,02:30
Algeria,"1,666",235,347,"1,084",10-04-2020,02:30
Iceland,"1,648",6,688,954,10-04-2020,02:30
Belarus,"1,486",16,139,"1,331",10-04-2020,02:30
Croatia,"1,407",20,219,"1,168",10-04-2020,02:30
Morocco,"1,374",97,109,"1,168",10-04-2020,02:30
Moldova,"1,289",29,50,"1,210",10-04-2020,02:30
New Zealand,"1,239",1,317,921,10-04-2020,02:30
Iraq,"1,232",69,496,667,10-04-2020,02:30
Estonia,"1,207",24,83,"1,100",10-04-2020,02:30
Slovenia,"1,124",43,128,953,10-04-2020,02:30
Hungary,980,66,96,818,10-04-2020,02:30
Hong Kong,974,4,293,677,10-04-2020,02:30
Lithuania,955,16,8,931,10-04-2020,02:30
Azerbaijan,926,9,101,816,10-04-2020,02:30
Armenia,921,10,138,773,10-04-2020,02:30
Kuwait,910,1,111,798,10-04-2020,02:30
Bahrain,887,5,519,363,10-04-2020,02:30
Bosnia and Herzegovina,858,35,101,722,10-04-2020,02:30
Kazakhstan,781,8,60,713,10-04-2020,02:30
Cameroon,730,10,60,660,10-04-2020,02:30
,721,13,619,89,10-04-2020,02:30
Diamond Princess,712,11,619,82,10-04-2020,02:30
Slovakia,701,2,23,676,10-04-2020,02:30
North Macedonia,663,30,37,596,10-04-2020,02:30
Tunisia,643,25,25,593,10-04-2020,02:30
Bulgaria,618,24,48,546,10-04-2020,02:30
Latvia,589,3,16,570,10-04-2020,02:30
Andorra,583,25,58,500,10-04-2020,02:30
Lebanon,582,19,67,496,10-04-2020,02:30
Uzbekistan,582,3,38,541,10-04-2020,02:30
Cyprus,564,10,53,501,10-04-2020,02:30
Costa Rica,539,3,30,506,10-04-2020,02:30
Cuba,515,15,28,472,10-04-2020,02:30
Afghanistan,484,15,32,437,10-04-2020,02:30
Oman,457,3,109,345,10-04-2020,02:30
Uruguay,456,7,192,257,10-04-2020,02:30
Ivory Coast,444,3,52,389,10-04-2020,02:30
Burkina Faso,443,24,146,273,10-04-2020,02:30
Niger,410,11,40,359,10-04-2020,02:30
Albania,409,23,165,221,10-04-2020,02:30
Taiwan,380,5,80,295,10-04-2020,02:30
Ghana,378,6,3,369,10-04-2020,02:30
Jordan,372,7,161,204,10-04-2020,02:30
Réunion,362,,40,322,10-04-2020,02:30
Channel Islands,361,8,40,313,10-04-2020,02:30
Honduras,343,23,6,314,10-04-2020,02:30
Malta,337,2,16,319,10-04-2020,02:30
San Marino,333,34,49,250,10-04-2020,02:30
Bangladesh,330,21,33,276,10-04-2020,02:30
Mauritius,314,7,23,284,10-04-2020,02:30
Nigeria,288,7,51,230,10-04-2020,02:30
Kyrgyzstan,280,4,35,241,10-04-2020,02:30
Bolivia,264,18,2,244,10-04-2020,02:30
Palestine,263,1,44,218,10-04-2020,02:30
Vietnam,255,,128,127,10-04-2020,02:30
Montenegro,252,2,4,246,10-04-2020,02:30
Senegal,250,2,123,125,10-04-2020,02:30
Georgia,218,3,51,164,10-04-2020,02:30
Guinea,194,,11,183,10-04-2020,02:30
Sri Lanka,190,7,49,134,10-04-2020,02:30
Isle of Man,190,1,92,97,10-04-2020,02:30
Kenya,184,7,12,165,10-04-2020,02:30
Mayotte,184,2,26,156,10-04-2020,02:30
Faeroe Islands,184,,136,48,10-04-2020,02:30
DRC,180,18,9,153,10-04-2020,02:30
Venezuela,171,9,84,78,10-04-2020,02:30
Martinique,154,6,50,98,10-04-2020,02:30
Guadeloupe,143,8,67,68,10-04-2020,02:30
Djibouti,140,1,28,111,10-04-2020,02:30
Brunei,135,1,92,42,10-04-2020,02:30
Paraguay,124,5,18,101,10-04-2020,02:30
Gibraltar,123,,60,63,10-04-2020,02:30
Cambodia,119,,62,57,10-04-2020,02:30
Rwanda,113,,7,106,10-04-2020,02:30
