Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
China,"81,285","3,287","74,051","3,947",26-03-2020,05:10
Italy,"74,386","7,503","9,362","57,521",26-03-2020,05:10
USA,"66,048",944,394,"64,710",26-03-2020,05:10
Spain,"49,515","3,647","5,367","40,501",26-03-2020,05:10
Germany,"37,323",206,"3,547","33,570",26-03-2020,05:10
Iran,"27,017","2,077","9,625","15,315",26-03-2020,05:10
France,"25,233","1,331","3,900","20,002",26-03-2020,05:10
Switzerland,"10,897",153,131,"10,613",26-03-2020,05:10
UK,"9,529",465,135,"8,929",26-03-2020,05:10
S. Korea,"9,137",126,"3,730","5,281",26-03-2020,05:10
Netherlands,"6,412",356,3,"6,053",26-03-2020,05:10
Austria,"5,588",30,9,"5,549",26-03-2020,05:10
Belgium,"4,937",178,547,"4,212",26-03-2020,05:10
Canada,"3,409",36,185,"3,188",26-03-2020,05:10
Norway,"3,084",14,6,"3,064",26-03-2020,05:10
Portugal,"2,995",43,22,"2,930",26-03-2020,05:10
Australia,"2,676",11,118,"2,547",26-03-2020,05:10
Brazil,"2,554",59,2,"2,493",26-03-2020,05:10
Sweden,"2,526",62,16,"2,448",26-03-2020,05:10
Turkey,"2,433",59,26,"2,348",26-03-2020,05:10
Israel,"2,369",5,58,"2,306",26-03-2020,05:10
Malaysia,"1,796",20,199,"1,577",26-03-2020,05:10
Denmark,"1,724",34,1,"1,689",26-03-2020,05:10
Czechia,"1,654",6,10,"1,638",26-03-2020,05:10
Ireland,"1,564",9,5,"1,550",26-03-2020,05:10
Luxembourg,"1,333",8,6,"1,319",26-03-2020,05:10
Japan,"1,307",45,310,952,26-03-2020,05:10
Ecuador,"1,211",29,3,"1,179",26-03-2020,05:10
Chile,"1,142",3,22,"1,117",26-03-2020,05:10
Pakistan,"1,063",8,21,"1,034",26-03-2020,05:10
Poland,"1,051",14,7,"1,030",26-03-2020,05:10
Thailand,934,4,70,860,26-03-2020,05:10
Romania,906,17,86,803,26-03-2020,05:10
Saudi Arabia,900,2,29,869,26-03-2020,05:10
Finland,880,3,10,867,26-03-2020,05:10
Greece,821,22,36,763,26-03-2020,05:10
Indonesia,790,58,31,701,26-03-2020,05:10
Iceland,737,2,56,679,26-03-2020,05:10
Diamond Princess,712,10,587,115,26-03-2020,05:10
South Africa,709,,12,697,26-03-2020,05:10
Russia,658,3,29,626,26-03-2020,05:10
India,657,12,43,602,26-03-2020,05:10
Philippines,636,38,26,572,26-03-2020,05:10
Singapore,631,2,160,469,26-03-2020,05:10
Panama,558,8,2,548,26-03-2020,05:10
Qatar,537,,41,496,26-03-2020,05:10
Slovenia,528,5,10,513,26-03-2020,05:10
Argentina,502,8,52,442,26-03-2020,05:10
Peru,480,9,1,470,26-03-2020,05:10
Colombia,470,4,8,458,26-03-2020,05:10
Egypt,456,21,95,340,26-03-2020,05:10
Croatia,442,1,22,419,26-03-2020,05:10
Bahrain,419,4,177,238,26-03-2020,05:10
Hong Kong,410,4,102,304,26-03-2020,05:10
Mexico,405,5,4,396,26-03-2020,05:10
Estonia,404,1,8,395,26-03-2020,05:10
Dominican Republic,392,10,3,379,26-03-2020,05:10
Serbia,384,4,15,365,26-03-2020,05:10
Iraq,346,29,103,214,26-03-2020,05:10
Lebanon,333,6,20,307,26-03-2020,05:10
UAE,333,2,52,279,26-03-2020,05:10
Algeria,302,21,65,216,26-03-2020,05:10
New Zealand,283,,27,256,26-03-2020,05:10
Lithuania,274,4,1,269,26-03-2020,05:10
Armenia,265,,16,249,26-03-2020,05:10
Bulgaria,242,3,4,235,26-03-2020,05:10
Taiwan,235,2,29,204,26-03-2020,05:10
Hungary,226,10,21,195,26-03-2020,05:10
Morocco,225,6,7,212,26-03-2020,05:10
Latvia,221,,1,220,26-03-2020,05:10
Uruguay,217,,,217,26-03-2020,05:10
Slovakia,216,,7,209,26-03-2020,05:10
San Marino,208,21,4,183,26-03-2020,05:10
Costa Rica,201,2,2,197,26-03-2020,05:10
Kuwait,195,,43,152,26-03-2020,05:10
Andorra,188,1,1,186,26-03-2020,05:10
North Macedonia,177,3,1,173,26-03-2020,05:10
Bosnia and Herzegovina,176,3,2,171,26-03-2020,05:10
Tunisia,173,5,2,166,26-03-2020,05:10
Jordan,172,,1,171,26-03-2020,05:10
Moldova,149,1,2,146,26-03-2020,05:10
Vietnam,148,,17,131,26-03-2020,05:10
Albania,146,5,17,124,26-03-2020,05:10
Burkina Faso,146,4,10,132,26-03-2020,05:10
Ukraine,145,5,1,139,26-03-2020,05:10
Cyprus,132,3,3,126,26-03-2020,05:10
Faeroe Islands,132,,38,94,26-03-2020,05:10
Malta,129,,2,127,26-03-2020,05:10
Réunion,111,,1,110,26-03-2020,05:10
Brunei,109,,2,107,26-03-2020,05:10
Venezuela,106,,15,91,26-03-2020,05:10
Sri Lanka,102,,3,99,26-03-2020,05:10
Oman,99,,17,82,26-03-2020,05:10
Senegal,99,,9,90,26-03-2020,05:10
Cambodia,96,,10,86,26-03-2020,05:10
Ghana,93,4,,89,26-03-2020,05:10
Azerbaijan,93,2,10,81,26-03-2020,05:10
Belarus,86,,29,57,26-03-2020,05:10
Afghanistan,84,2,2,80,26-03-2020,05:10
Kazakhstan,81,,,81,26-03-2020,05:10
Ivory Coast,80,,3,77,26-03-2020,05:10
Cameroon,75,1,2,72,26-03-2020,05:10
Georgia,75,,10,65,26-03-2020,05:10
Guadeloupe,73,1,,72,26-03-2020,05:10
Palestine,71,1,16,54,26-03-2020,05:10
Martinique,66,1,,65,26-03-2020,05:10
Trinidad and Tobago,60,1,,59,26-03-2020,05:10
Uzbekistan,60,,,60,26-03-2020,05:10
Cuba,57,1,1,55,26-03-2020,05:10
Montenegro,53,1,,52,26-03-2020,05:10
Honduras,52,,,52,26-03-2020,05:10
Nigeria,51,1,2,48,26-03-2020,05:10
Liechtenstein,51,,,51,26-03-2020,05:10
DRC,48,2,,46,26-03-2020,05:10
Mauritius,48,2,,46,26-03-2020,05:10
Channel Islands,46,,,46,26-03-2020,05:10
Kyrgyzstan,44,,,44,26-03-2020,05:10
Rwanda,41,,,41,26-03-2020,05:10
Bangladesh,39,5,7,27,26-03-2020,05:10
Bolivia,38,,,38,26-03-2020,05:10
Paraguay,37,3,,34,26-03-2020,05:10
Mayotte,36,,,36,26-03-2020,05:10
Monaco,31,,1,30,26-03-2020,05:10
Macao,30,,10,20,26-03-2020,05:10
French Guiana,28,,6,22,26-03-2020,05:10
Kenya,28,,1,27,26-03-2020,05:10
Jamaica,26,1,2,23,26-03-2020,05:10
Gibraltar,26,,5,21,26-03-2020,05:10
French Polynesia,25,,,25,26-03-2020,05:10
Guatemala,24,1,4,19,26-03-2020,05:10
Isle of Man,23,,,23,26-03-2020,05:10
Togo,23,,1,22,26-03-2020,05:10
Aruba,19,,1,18,26-03-2020,05:10
Madagascar,19,,,19,26-03-2020,05:10
Barbados,18,,,18,26-03-2020,05:10
New Caledonia,14,,,14,26-03-2020,05:10
Uganda,14,,,14,26-03-2020,05:10
El Salvador,13,,,13,26-03-2020,05:10
Maldives,13,,8,5,26-03-2020,05:10
Tanzania,13,,,13,26-03-2020,05:10
Ethiopia,12,,,12,26-03-2020,05:10
Zambia,12,,,12,26-03-2020,05:10
Djibouti,11,,,11,26-03-2020,05:10
Dominica,11,,,11,26-03-2020,05:10
Saint Martin,11,,,11,26-03-2020,05:10
Mongolia,10,,,10,26-03-2020,05:10
Equatorial Guinea,9,,,9,26-03-2020,05:10
Cayman Islands,8,1,,7,26-03-2020,05:10
Haiti,8,,,8,26-03-2020,05:10
Suriname,8,,,8,26-03-2020,05:10
Niger,7,1,,6,26-03-2020,05:10
Bermuda,7,,,7,26-03-2020,05:10
Namibia,7,,2,5,26-03-2020,05:10
Seychelles,7,,,7,26-03-2020,05:10
Curaçao,6,1,2,3,26-03-2020,05:10
Gabon,6,1,,5,26-03-2020,05:10
Benin,6,,,6,26-03-2020,05:10
Greenland,6,,2,4,26-03-2020,05:10
Guyana,5,1,,4,26-03-2020,05:10
Bahamas,5,,1,4,26-03-2020,05:10
Fiji,5,,,5,26-03-2020,05:10
Mozambique,5,,,5,26-03-2020,05:10
Syria,5,,,5,26-03-2020,05:10
Cabo Verde,4,1,,3,26-03-2020,05:10
Congo,4,,,4,26-03-2020,05:10
Eritrea,4,,,4,26-03-2020,05:10
Guinea,4,,,4,26-03-2020,05:10
Vatican City,4,,,4,26-03-2020,05:10
Eswatini,4,,,4,26-03-2020,05:10
Gambia,3,1,,2,26-03-2020,05:10
Sudan,3,1,,2,26-03-2020,05:10
Zimbabwe,3,1,,2,26-03-2020,05:10
Nepal,3,,1,2,26-03-2020,05:10
Angola,3,,,3,26-03-2020,05:10
Antigua and Barbuda,3,,,3,26-03-2020,05:10
CAR,3,,,3,26-03-2020,05:10
Chad,3,,,3,26-03-2020,05:10
Laos,3,,,3,26-03-2020,05:10
Liberia,3,,,3,26-03-2020,05:10
Myanmar,3,,,3,26-03-2020,05:10
St. Barth,3,,,3,26-03-2020,05:10
Saint Lucia,3,,,3,26-03-2020,05:10
Sint Maarten,3,,,3,26-03-2020,05:10
Belize,2,,,2,26-03-2020,05:10
Bhutan,2,,,2,26-03-2020,05:10
British Virgin Islands,2,,,2,26-03-2020,05:10
Guinea-Bissau,2,,,2,26-03-2020,05:10
Mali,2,,,2,26-03-2020,05:10
Mauritania,2,,,2,26-03-2020,05:10
Nicaragua,2,,,2,26-03-2020,05:10
Saint Kitts and Nevis,2,,,2,26-03-2020,05:10
Grenada,1,,,1,26-03-2020,05:10
Libya,1,,,1,26-03-2020,05:10
Montserrat,1,,,1,26-03-2020,05:10
Papua New Guinea,1,,,1,26-03-2020,05:10
St. Vincent Grenadines,1,,,1,26-03-2020,05:10
Somalia,1,,,1,26-03-2020,05:10
Timor-Leste,1,,,1,26-03-2020,05:10
Turks and Caicos,1,,,1,26-03-2020,05:10
