Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"1,853,155","114,247","423,625","1,315,283",13-04-2020,05:48
Europe,"881,110","76,768","221,548","582,794",13-04-2020,05:48
North America,"598,872","23,509","42,295","533,068",13-04-2020,05:48
USA,"560,433","22,115","32,634","505,684",13-04-2020,05:48
Asia,"298,869","11,007","146,675","141,187",13-04-2020,05:48
Spain,"166,831","17,209","62,391","87,231",13-04-2020,05:48
Italy,"156,363","19,899","34,211","102,253",13-04-2020,05:48
France,"132,591","14,393","27,186","91,012",13-04-2020,05:48
Germany,"127,854","3,022","60,300","64,532",13-04-2020,05:48
UK,"84,279","10,612",N/A,"73,323",13-04-2020,05:48
China,"82,160","3,341","77,663","1,156",13-04-2020,05:48
Iran,"71,686","4,474","43,894","23,318",13-04-2020,05:48
Turkey,"56,956","1,198","3,446","52,312",13-04-2020,05:48
South America,"50,741","2,093","5,681","42,967",13-04-2020,05:48
Belgium,"29,647","3,600","6,463","19,584",13-04-2020,05:48
Netherlands,"25,587","2,737",250,"22,600",13-04-2020,05:48
Switzerland,"25,415","1,106","12,700","11,609",13-04-2020,05:48
Canada,"24,383",717,"7,172","16,494",13-04-2020,05:48
Brazil,"22,318","1,230",173,"20,915",13-04-2020,05:48
Portugal,"16,585",504,277,"15,804",13-04-2020,05:48
Russia,"15,770",130,"1,291","14,349",13-04-2020,05:48
Africa,"15,082",791,"2,922","11,369",13-04-2020,05:48
Austria,"13,945",350,"6,987","6,608",13-04-2020,05:48
Israel,"11,145",103,"1,627","9,415",13-04-2020,05:48
S. Korea,"10,537",217,"7,447","2,873",13-04-2020,05:48
Sweden,"10,483",899,381,"9,203",13-04-2020,05:48
Ireland,"9,655",334,25,"9,296",13-04-2020,05:48
India,"9,205",331,"1,080","7,794",13-04-2020,05:48
Oceania,"7,760",66,"3,885","3,809",13-04-2020,05:48
Peru,"7,519",193,"1,798","5,528",13-04-2020,05:48
Ecuador,"7,466",333,501,"6,632",13-04-2020,05:48
Japan,"7,370",123,784,"6,463",13-04-2020,05:48
Chile,"7,213",80,"2,059","5,074",13-04-2020,05:48
Poland,"6,674",232,439,"6,003",13-04-2020,05:48
Norway,"6,525",128,32,"6,365",13-04-2020,05:48
Australia,"6,322",61,"3,338","2,923",13-04-2020,05:48
Romania,"6,300",316,852,"5,132",13-04-2020,05:48
Denmark,"6,174",273,"2,123","3,778",13-04-2020,05:48
Czechia,"5,991",138,464,"5,389",13-04-2020,05:48
Pakistan,"5,230",91,"1,028","4,111",13-04-2020,05:48
Malaysia,"4,683",76,"2,108","2,499",13-04-2020,05:48
Mexico,"4,661",296,"1,843","2,522",13-04-2020,05:48
Philippines,"4,648",297,197,"4,154",13-04-2020,05:48
Saudi Arabia,"4,462",59,761,"3,642",13-04-2020,05:48
Indonesia,"4,241",373,359,"3,509",13-04-2020,05:48
UAE,"4,123",22,680,"3,421",13-04-2020,05:48
Serbia,"3,630",80,400,"3,150",13-04-2020,05:48
Panama,"3,400",87,29,"3,284",13-04-2020,05:48
Luxembourg,"3,281",66,500,"2,715",13-04-2020,05:48
Qatar,"2,979",7,275,"2,697",13-04-2020,05:48
Finland,"2,974",56,300,"2,618",13-04-2020,05:48
Dominican Republic,"2,967",173,131,"2,663",13-04-2020,05:48
Ukraine,"2,777",83,89,"2,605",13-04-2020,05:48
Colombia,"2,776",109,270,"2,397",13-04-2020,05:48
Belarus,"2,578",26,203,"2,349",13-04-2020,05:48
Thailand,"2,551",38,"1,218","1,295",13-04-2020,05:48
Singapore,"2,532",8,560,"1,964",13-04-2020,05:48
Argentina,"2,208",95,468,"1,645",13-04-2020,05:48
