Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"4,920,173","320,673","1,928,023","2,671,477",19-05-2020,15:56
Europe,"1,809,654","163,899","790,582","855,173",19-05-2020,15:56
North America,"1,714,196","104,355","450,342","1,159,499",19-05-2020,15:56
USA,"1,550,630","92,034","358,906","1,099,690",19-05-2020,15:56
Asia,"835,159","25,305","480,787","329,067",19-05-2020,15:56
South America,"461,372","24,120","162,633","274,619",19-05-2020,15:56
Russia,"299,941","2,837","76,130","220,974",19-05-2020,15:56
Spain,"278,188","27,709","196,958","53,521",19-05-2020,15:56
Brazil,"255,368","16,853","100,459","138,056",19-05-2020,15:56
UK,"246,406","34,796",N/A,N/A,19-05-2020,15:56
Italy,"225,886","32,007","127,326","66,553",19-05-2020,15:56
France,"179,927","28,239","61,728","89,960",19-05-2020,15:56
Germany,"177,289","8,123","155,700","13,466",19-05-2020,15:56
Turkey,"150,593","4,171","111,577","34,845",19-05-2020,15:56
Iran,"124,603","7,119","97,173","20,311",19-05-2020,15:56
India,"102,287","3,169","39,658","59,460",19-05-2020,15:56
Peru,"94,933","2,789","30,306","61,838",19-05-2020,15:56
Africa,"90,396","2,858","35,072","52,466",19-05-2020,15:56
China,"82,960","4,634","78,241",85,19-05-2020,15:56
Canada,"78,072","5,842","39,228","33,002",19-05-2020,15:56
Saudi Arabia,"59,854",329,"31,634","27,891",19-05-2020,15:56
Belgium,"55,791","9,108","14,687","31,996",19-05-2020,15:56
Mexico,"51,633","5,332","35,388","10,913",19-05-2020,15:56
Chile,"46,059",478,"20,165","25,416",19-05-2020,15:56
Netherlands,"44,249","5,715",N/A,N/A,19-05-2020,15:56
Pakistan,"43,966",939,"12,489","30,538",19-05-2020,15:56
Qatar,"35,606",15,"5,634","29,957",19-05-2020,15:56
Ecuador,"33,582","2,799","3,433","27,350",19-05-2020,15:56
Belarus,"31,508",175,"10,620","20,713",19-05-2020,15:56
Sweden,"30,799","3,743","4,971","22,085",19-05-2020,15:56
Switzerland,"30,618","1,886","27,600","1,132",19-05-2020,15:56
Portugal,"29,432","1,247","6,431","21,754",19-05-2020,15:56
Singapore,"28,794",22,"9,835","18,937",19-05-2020,15:56
Bangladesh,"25,121",370,"4,993","19,758",19-05-2020,15:56
UAE,"25,063",227,"10,791","14,045",19-05-2020,15:56
Ireland,"24,200","1,547","19,470","3,183",19-05-2020,15:56
Poland,"19,080",941,"7,903","10,236",19-05-2020,15:56
Ukraine,"18,876",548,"5,632","12,696",19-05-2020,15:56
Indonesia,"18,496","1,221","4,467","12,808",19-05-2020,15:56
Romania,"17,191","1,126","10,166","5,899",19-05-2020,15:56
Kuwait,"16,764",121,"4,681","11,962",19-05-2020,15:56
Israel,"16,650",277,"13,299","3,074",19-05-2020,15:56
South Africa,"16,433",286,"7,298","8,849",19-05-2020,15:56
Austria,"16,321",632,"14,678","1,011",19-05-2020,15:56
Japan,"16,305",749,"11,564","3,992",19-05-2020,15:56
Colombia,"16,295",592,"3,903","11,800",19-05-2020,15:56
Philippines,"12,942",837,"2,843","9,262",19-05-2020,15:56
Egypt,"12,764",645,"3,440","8,679",19-05-2020,15:56
Dominican Republic,"12,725",434,"6,613","5,678",19-05-2020,15:56
S. Korea,"11,078",263,"9,938",877,19-05-2020,15:56
Denmark,"11,044",551,"9,416","1,077",19-05-2020,15:56
Serbia,"10,733",234,"4,904","5,595",19-05-2020,15:56
Panama,"9,726",279,"6,081","3,366",19-05-2020,15:56
Oceania,"8,675",121,"7,956",598,19-05-2020,15:56
Czechia,"8,604",301,"5,687","2,616",19-05-2020,15:56
Argentina,"8,371",382,"2,625","5,364",19-05-2020,15:56
Norway,"8,257",233,32,"7,992",19-05-2020,15:56
Afghanistan,"7,653",178,850,"6,625",19-05-2020,15:56
Bahrain,"7,374",12,"2,952","4,410",19-05-2020,15:56
Algeria,"7,201",555,"3,625","3,021",19-05-2020,15:56
Australia,"7,068",100,"6,413",555,19-05-2020,15:56
Malaysia,"6,978",114,"5,646","1,218",19-05-2020,15:56
Morocco,"6,972",193,"3,890","2,889",19-05-2020,15:56
Kazakhstan,"6,751",35,"3,469","3,247",19-05-2020,15:56
Finland,"6,399",301,"5,000","1,098",19-05-2020,15:56
Nigeria,"6,175",191,"1,644","4,340",19-05-2020,15:56
Moldova,"6,138",217,"2,425","3,496",19-05-2020,15:56
Ghana,"5,918",31,"1,754","4,133",19-05-2020,15:56
Oman,"5,671",26,"1,574","4,071",19-05-2020,15:56
Armenia,"5,041",64,"2,164","2,813",19-05-2020,15:56
Bolivia,"4,263",174,503,"3,586",19-05-2020,15:56
Luxembourg,"3,947",107,"3,715",125,19-05-2020,15:56
Hungary,"3,556",467,"1,412","1,677",19-05-2020,15:56
Iraq,"3,554",127,"2,310","1,117",19-05-2020,15:56
Cameroon,"3,529",140,"1,567","1,822",19-05-2020,15:56
Azerbaijan,"3,387",40,"2,055","1,292",19-05-2020,15:56
Thailand,"3,033",56,"2,857",120,19-05-2020,15:56
Greece,"2,836",165,"1,374","1,297",19-05-2020,15:56
Uzbekistan,"2,825",13,"2,338",474,19-05-2020,15:56
Honduras,"2,798",146,340,"2,312",19-05-2020,15:56
Guinea,"2,796",16,"1,263","1,517",19-05-2020,15:56
Senegal,"2,617",30,"1,133","1,454",19-05-2020,15:56
Sudan,"2,591",105,247,"2,239",19-05-2020,15:56
Bosnia and Herzegovina,"2,321",134,"1,522",665,19-05-2020,15:56
Bulgaria,"2,259",112,646,"1,501",19-05-2020,15:56
Croatia,"2,232",96,"1,967",169,19-05-2020,15:56
Ivory Coast,"2,119",28,"1,040","1,051",19-05-2020,15:56
Guatemala,"2,001",38,139,"1,824",19-05-2020,15:56
Cuba,"1,881",79,"1,505",297,19-05-2020,15:56
North Macedonia,"1,839",106,"1,351",382,19-05-2020,15:56
Iceland,"1,802",10,"1,786",6,19-05-2020,15:56
Estonia,"1,791",64,938,789,19-05-2020,15:56
Tajikistan,"1,729",41,,"1,688",19-05-2020,15:56
Lithuania,"1,547",59,997,491,19-05-2020,15:56
DRC,"1,538",61,272,"1,205",19-05-2020,15:56
Djibouti,"1,518",7,"1,018",493,19-05-2020,15:56
New Zealand,"1,503",21,"1,442",40,19-05-2020,15:56
El Salvador,"1,498",30,502,966,19-05-2020,15:56
Slovakia,"1,495",28,"1,192",275,19-05-2020,15:56
Slovenia,"1,467",104,"1,335",28,19-05-2020,15:56
Somalia,"1,455",57,163,"1,235",19-05-2020,15:56
Gabon,"1,432",11,301,"1,120",19-05-2020,15:56
Mayotte,"1,370",18,627,725,19-05-2020,15:56
Kyrgyzstan,"1,243",14,898,331,19-05-2020,15:56
Maldives,"1,143",4,80,"1,059",19-05-2020,15:56
Hong Kong,"1,056",4,"1,025",27,19-05-2020,15:56
Tunisia,"1,043",46,819,178,19-05-2020,15:56
Guinea-Bissau,"1,032",4,38,990,19-05-2020,15:56
Latvia,"1,012",21,694,297,19-05-2020,15:56
Sri Lanka,992,9,569,414,19-05-2020,15:56
Lebanon,954,26,251,677,19-05-2020,15:56
Albania,949,31,742,176,19-05-2020,15:56
Cyprus,917,17,515,385,19-05-2020,15:56
Kenya,912,50,336,526,19-05-2020,15:56
Niger,909,55,714,140,19-05-2020,15:56
Mali,874,52,512,310,19-05-2020,15:56
Costa Rica,866,10,575,281,19-05-2020,15:56
Burkina Faso,796,51,652,93,19-05-2020,15:56
Paraguay,788,11,219,558,19-05-2020,15:56
Zambia,772,7,192,573,19-05-2020,15:56
Andorra,761,51,624,86,19-05-2020,15:56
Uruguay,737,20,569,148,19-05-2020,15:56
,721,15,651,55,19-05-2020,15:56
Equatorial Guinea,719,7,22,690,19-05-2020,15:56
Diamond Princess,712,13,651,48,19-05-2020,15:56
Georgia,702,12,456,234,19-05-2020,15:56
San Marino,655,41,211,403,19-05-2020,15:56
Jordan,629,9,413,207,19-05-2020,15:56
Venezuela,618,10,253,355,19-05-2020,15:56
Malta,569,6,460,103,19-05-2020,15:56
Channel Islands,555,43,475,37,19-05-2020,15:56
Haiti,533,21,21,491,19-05-2020,15:56
Jamaica,520,9,131,380,19-05-2020,15:56
Chad,519,53,117,349,19-05-2020,15:56
Sierra Leone,519,33,148,338,19-05-2020,15:56
Tanzania,509,21,183,305,19-05-2020,15:56
Réunion,446,,354,92,19-05-2020,15:56
Taiwan,440,7,401,32,19-05-2020,15:56
Congo,412,15,110,287,19-05-2020,15:56
Nepal,402,2,37,363,19-05-2020,15:56
Palestine,388,2,337,49,19-05-2020,15:56
Ethiopia,365,5,120,240,19-05-2020,15:56
Benin,339,2,83,254,19-05-2020,15:56
Isle of Man,335,24,296,15,19-05-2020,15:56
Mauritius,332,10,322,0,19-05-2020,15:56
Togo,330,12,106,212,19-05-2020,15:56
Cabo Verde,328,3,85,240,19-05-2020,15:56
CAR,327,,13,314,19-05-2020,15:56
Madagascar,326,2,119,205,19-05-2020,15:56
Montenegro,324,9,311,4,19-05-2020,15:56
Vietnam,324,,263,61,19-05-2020,15:56
Rwanda,297,,203,94,19-05-2020,15:56
South Sudan,290,4,4,282,19-05-2020,15:56
Uganda,260,,63,197,19-05-2020,15:56
Sao Tome and Principe,246,7,4,235,19-05-2020,15:56
Liberia,229,22,123,84,19-05-2020,15:56
French Guiana,210,1,131,78,19-05-2020,15:56
Eswatini,205,2,78,125,19-05-2020,15:56
Martinique,192,14,91,87,19-05-2020,15:56
Myanmar,191,6,101,84,19-05-2020,15:56
Faeroe Islands,187,,187,0,19-05-2020,15:56
Guadeloupe,155,13,109,33,19-05-2020,15:56
Gibraltar,147,,145,2,19-05-2020,15:56
Mozambique,145,,44,101,19-05-2020,15:56
Brunei,141,1,136,4,19-05-2020,15:56
Mongolia,140,,26,114,19-05-2020,15:56
Yemen,130,20,1,109,19-05-2020,15:56
Bermuda,125,9,77,39,19-05-2020,15:56
Guyana,124,10,45,69,19-05-2020,15:56
Cambodia,122,,122,0,19-05-2020,15:56
Trinidad and Tobago,116,8,107,1,19-05-2020,15:56
Aruba,101,3,93,5,19-05-2020,15:56
Monaco,97,4,87,6,19-05-2020,15:56
Bahamas,96,11,43,42,19-05-2020,15:56
Cayman Islands,94,1,55,38,19-05-2020,15:56
Barbados,88,7,68,13,19-05-2020,15:56
Liechtenstein,82,1,55,26,19-05-2020,15:56
Mauritania,81,4,7,70,19-05-2020,15:56
Sint Maarten,77,15,54,8,19-05-2020,15:56
Malawi,70,3,27,40,19-05-2020,15:56
Libya,65,3,35,27,19-05-2020,15:56
French Polynesia,60,,60,0,19-05-2020,15:56
Syria,58,3,36,19,19-05-2020,15:56
Angola,50,3,17,30,19-05-2020,15:56
Zimbabwe,46,4,18,24,19-05-2020,15:56
Macao,45,,45,0,19-05-2020,15:56
Burundi,42,1,20,21,19-05-2020,15:56
Saint Martin,39,3,30,6,19-05-2020,15:56
Eritrea,39,,39,0,19-05-2020,15:56
Nicaragua,25,8,7,10,19-05-2020,15:56
Antigua and Barbuda,25,3,19,3,19-05-2020,15:56
Botswana,25,1,17,7,19-05-2020,15:56
Gambia,24,1,13,10,19-05-2020,15:56
Timor-Leste,24,,24,0,19-05-2020,15:56
Grenada,22,,14,8,19-05-2020,15:56
Bhutan,21,,5,16,19-05-2020,15:56
Laos,19,,14,5,19-05-2020,15:56
Belize,18,2,16,0,19-05-2020,15:56
Fiji,18,,15,3,19-05-2020,15:56
New Caledonia,18,,18,0,19-05-2020,15:56
Saint Lucia,18,,18,0,19-05-2020,15:56
St. Vincent Grenadines,17,,14,3,19-05-2020,15:56
Curaçao,16,1,14,1,19-05-2020,15:56
Dominica,16,,16,0,19-05-2020,15:56
Namibia,16,,13,3,19-05-2020,15:56
Saint Kitts and Nevis,15,,15,0,19-05-2020,15:56
Falkland Islands,13,,13,0,19-05-2020,15:56
Turks and Caicos,12,1,10,1,19-05-2020,15:56
Vatican City,12,,2,10,19-05-2020,15:56
Comoros,11,1,3,7,19-05-2020,15:56
Montserrat,11,1,10,0,19-05-2020,15:56
Suriname,11,1,9,1,19-05-2020,15:56
Greenland,11,,11,0,19-05-2020,15:56
Seychelles,11,,11,0,19-05-2020,15:56
MS Zaandam,9,2,,7,19-05-2020,15:56
British Virgin Islands,8,1,6,1,19-05-2020,15:56
Papua New Guinea,8,,8,0,19-05-2020,15:56
Caribbean Netherlands,6,,6,0,19-05-2020,15:56
St. Barth,6,,6,0,19-05-2020,15:56
Western Sahara,6,,6,0,19-05-2020,15:56
Anguilla,3,,3,0,19-05-2020,15:56
Lesotho,1,,,1,19-05-2020,15:56
Saint Pierre Miquelon,1,,1,0,19-05-2020,15:56
