Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
China,"81,171","3,277","73,159","4,735",24-03-2020,10:35
Italy,"63,927","6,077","7,432","50,418",24-03-2020,10:35
USA,"46,145",582,295,"45,268",24-03-2020,10:35
Spain,"35,136","2,311","3,355","29,470",24-03-2020,10:35
Germany,"29,056",123,453,"28,480",24-03-2020,10:35
Iran,"23,049","1,812","8,376","12,861",24-03-2020,10:35
France,"19,856",860,"2,200","16,796",24-03-2020,10:35
S. Korea,"9,037",120,"3,507","5,410",24-03-2020,10:35
Switzerland,"8,795",120,131,"8,544",24-03-2020,10:35
UK,"6,650",335,135,"6,180",24-03-2020,10:35
Netherlands,"4,749",213,2,"4,534",24-03-2020,10:35
Austria,"4,493",21,9,"4,463",24-03-2020,10:35
Belgium,"3,743",88,401,"3,254",24-03-2020,10:35
Norway,"2,625",10,6,"2,609",24-03-2020,10:35
Australia,"2,136",8,118,"2,010",24-03-2020,10:35
Canada,"2,091",24,320,"1,747",24-03-2020,10:35
Portugal,"2,060",23,14,"2,023",24-03-2020,10:35
Sweden,"2,059",33,16,"2,010",24-03-2020,10:35
Brazil,"1,924",34,2,"1,888",24-03-2020,10:35
Israel,"1,656",1,41,"1,614",24-03-2020,10:35
Turkey,"1,529",37,,"1,492",24-03-2020,10:35
Malaysia,"1,518",15,159,"1,344",24-03-2020,10:35
Denmark,"1,460",24,1,"1,435",24-03-2020,10:35
Czechia,"1,287",1,7,"1,279",24-03-2020,10:35
Japan,"1,140",42,285,813,24-03-2020,10:35
Ireland,"1,125",6,5,"1,114",24-03-2020,10:35
Ecuador,981,18,3,960,24-03-2020,10:35
Pakistan,892,6,13,873,24-03-2020,10:35
Luxembourg,875,8,6,861,24-03-2020,10:35
Thailand,827,4,52,771,24-03-2020,10:35
Poland,749,8,13,728,24-03-2020,10:35
Chile,746,2,11,733,24-03-2020,10:35
Diamond Princess,712,10,587,115,24-03-2020,10:35
Finland,700,1,10,689,24-03-2020,10:35
Greece,695,17,29,649,24-03-2020,10:35
Iceland,588,1,51,536,24-03-2020,10:35
Indonesia,579,49,30,500,24-03-2020,10:35
Romania,576,8,73,495,24-03-2020,10:35
Saudi Arabia,562,,19,543,24-03-2020,10:35
India,511,10,37,464,24-03-2020,10:35
Singapore,509,2,152,355,24-03-2020,10:35
Philippines,501,33,19,449,24-03-2020,10:35
Qatar,501,,37,464,24-03-2020,10:35
Slovenia,442,3,,439,24-03-2020,10:35
Russia,438,1,17,420,24-03-2020,10:35
South Africa,402,,4,398,24-03-2020,10:35
Peru,395,5,1,389,24-03-2020,10:35
Bahrain,377,2,164,211,24-03-2020,10:35
Mexico,367,4,4,359,24-03-2020,10:35
Egypt,366,19,68,279,24-03-2020,10:35
Hong Kong,357,4,100,253,24-03-2020,10:35
Estonia,352,,4,348,24-03-2020,10:35
Panama,345,6,1,338,24-03-2020,10:35
Croatia,315,1,5,309,24-03-2020,10:35
Colombia,306,3,6,297,24-03-2020,10:35
Argentina,301,4,51,246,24-03-2020,10:35
Lebanon,267,4,8,255,24-03-2020,10:35
Iraq,266,23,62,181,24-03-2020,10:35
Serbia,249,3,3,243,24-03-2020,10:35
Dominican Republic,245,3,3,239,24-03-2020,10:35
Armenia,235,,2,233,24-03-2020,10:35
Algeria,230,17,65,148,24-03-2020,10:35
Taiwan,215,2,29,184,24-03-2020,10:35
Bulgaria,202,3,3,196,24-03-2020,10:35
UAE,198,2,41,155,24-03-2020,10:35
Latvia,197,,1,196,24-03-2020,10:35
Kuwait,189,,30,159,24-03-2020,10:35
San Marino,187,20,4,163,24-03-2020,10:35
Hungary,187,8,21,158,24-03-2020,10:35
Lithuania,187,1,1,185,24-03-2020,10:35
Slovakia,186,,7,179,24-03-2020,10:35
Uruguay,162,,,162,24-03-2020,10:35
Costa Rica,158,2,2,154,24-03-2020,10:35
New Zealand,155,,12,143,24-03-2020,10:35
Morocco,143,4,5,134,24-03-2020,10:35
Bosnia and Herzegovina,137,1,2,134,24-03-2020,10:35
North Macedonia,136,2,1,133,24-03-2020,10:35
Andorra,133,1,1,131,24-03-2020,10:35
Jordan,127,,1,126,24-03-2020,10:35
Vietnam,123,,17,106,24-03-2020,10:35
Faeroe Islands,118,,23,95,24-03-2020,10:35
Cyprus,116,1,3,112,24-03-2020,10:35
Moldova,109,1,2,106,24-03-2020,10:35
Malta,107,,2,105,24-03-2020,10:35
Albania,104,4,2,98,24-03-2020,10:35
Burkina Faso,99,4,5,90,24-03-2020,10:35
Sri Lanka,97,,2,95,24-03-2020,10:35
Brunei,91,,2,89,24-03-2020,10:35
Tunisia,89,3,1,85,24-03-2020,10:35
Cambodia,87,,2,85,24-03-2020,10:35
Oman,84,,17,67,24-03-2020,10:35
Venezuela,84,,15,69,24-03-2020,10:35
Belarus,81,,22,59,24-03-2020,10:35
Senegal,79,,8,71,24-03-2020,10:35
Ukraine,73,3,1,69,24-03-2020,10:35
Azerbaijan,72,1,10,61,24-03-2020,10:35
Réunion,71,,1,70,24-03-2020,10:35
Kazakhstan,68,,,68,24-03-2020,10:35
Georgia,66,,9,57,24-03-2020,10:35
Guadeloupe,62,1,,61,24-03-2020,10:35
Palestine,59,,17,42,24-03-2020,10:35
Cameroon,56,,2,54,24-03-2020,10:35
Martinique,53,1,,52,24-03-2020,10:35
Trinidad and Tobago,52,,,52,24-03-2020,10:35
Liechtenstein,51,,,51,24-03-2020,10:35
Uzbekistan,49,,,49,24-03-2020,10:35
Afghanistan,42,1,1,40,24-03-2020,10:35
Kyrgyzstan,42,,,42,24-03-2020,10:35
Cuba,40,1,,39,24-03-2020,10:35
Nigeria,40,1,2,37,24-03-2020,10:35
DRC,36,2,,34,24-03-2020,10:35
Mauritius,36,2,,34,24-03-2020,10:35
Channel Islands,36,,,36,24-03-2020,10:35
Rwanda,36,,,36,24-03-2020,10:35
Bangladesh,33,3,5,25,24-03-2020,10:35
Puerto Rico,31,2,1,28,24-03-2020,10:35
Honduras,30,,,30,24-03-2020,10:35
Guam,29,1,,28,24-03-2020,10:35
Bolivia,28,,,28,24-03-2020,10:35
Ghana,27,2,,25,24-03-2020,10:35
Paraguay,27,2,,25,24-03-2020,10:35
Montenegro,27,1,,26,24-03-2020,10:35
Macao,25,,10,15,24-03-2020,10:35
Ivory Coast,25,,2,23,24-03-2020,10:35
Mayotte,24,,,24,24-03-2020,10:35
Monaco,23,,1,22,24-03-2020,10:35
French Polynesia,23,,,23,24-03-2020,10:35
Jamaica,21,1,2,18,24-03-2020,10:35
Guatemala,20,1,,19,24-03-2020,10:35
Guyana,20,1,,19,24-03-2020,10:35
French Guiana,20,,6,14,24-03-2020,10:35
Togo,18,,,18,24-03-2020,10:35
Barbados,17,,,17,24-03-2020,10:35
Madagascar,17,,,17,24-03-2020,10:35
U.S. Virgin Islands,17,,,17,24-03-2020,10:35
Kenya,16,,,16,24-03-2020,10:35
Gibraltar,15,,5,10,24-03-2020,10:35
Isle of Man,13,,,13,24-03-2020,10:35
Maldives,13,,5,8,24-03-2020,10:35
Aruba,12,,1,11,24-03-2020,10:35
Ethiopia,12,,,12,24-03-2020,10:35
Tanzania,12,,,12,24-03-2020,10:35
Mongolia,10,,,10,24-03-2020,10:35
Equatorial Guinea,9,,,9,24-03-2020,10:35
Uganda,9,,,9,24-03-2020,10:35
New Caledonia,8,,,8,24-03-2020,10:35
Saint Martin,8,,,8,24-03-2020,10:35
Seychelles,7,,,7,24-03-2020,10:35
Gabon,6,1,,5,24-03-2020,10:35
Benin,6,,,6,24-03-2020,10:35
Bermuda,6,,,6,24-03-2020,10:35
Haiti,6,,,6,24-03-2020,10:35
Suriname,6,,,6,24-03-2020,10:35
Cayman Islands,5,1,,4,24-03-2020,10:35
El Salvador,5,,,5,24-03-2020,10:35
Curaçao,4,1,,3,24-03-2020,10:35
Bahamas,4,,,4,24-03-2020,10:35
Congo,4,,,4,24-03-2020,10:35
Fiji,4,,,4,24-03-2020,10:35
Greenland,4,,,4,24-03-2020,10:35
Guinea,4,,,4,24-03-2020,10:35
Namibia,4,,,4,24-03-2020,10:35
Eswatini,4,,,4,24-03-2020,10:35
Zimbabwe,3,1,,2,24-03-2020,10:35
Angola,3,,,3,24-03-2020,10:35
Antigua and Barbuda,3,,,3,24-03-2020,10:35
Cabo Verde,3,,,3,24-03-2020,10:35
CAR,3,,,3,24-03-2020,10:35
Djibouti,3,,,3,24-03-2020,10:35
Liberia,3,,,3,24-03-2020,10:35
Niger,3,,,3,24-03-2020,10:35
St. Barth,3,,,3,24-03-2020,10:35
Saint Lucia,3,,,3,24-03-2020,10:35
Zambia,3,,,3,24-03-2020,10:35
Gambia,2,1,,1,24-03-2020,10:35
Sudan,2,1,,1,24-03-2020,10:35
Nepal,2,,1,1,24-03-2020,10:35
Bhutan,2,,,2,24-03-2020,10:35
Chad,2,,,2,24-03-2020,10:35
Dominica,2,,,2,24-03-2020,10:35
Mauritania,2,,,2,24-03-2020,10:35
Myanmar,2,,,2,24-03-2020,10:35
Nicaragua,2,,,2,24-03-2020,10:35
Sint Maarten,2,,,2,24-03-2020,10:35
Belize,1,,,1,24-03-2020,10:35
Eritrea,1,,,1,24-03-2020,10:35
Grenada,1,,,1,24-03-2020,10:35
Vatican City,1,,,1,24-03-2020,10:35
Montserrat,1,,,1,24-03-2020,10:35
Mozambique,1,,,1,24-03-2020,10:35
Papua New Guinea,1,,,1,24-03-2020,10:35
St. Vincent Grenadines,1,,,1,24-03-2020,10:35
Somalia,1,,,1,24-03-2020,10:35
Syria,1,,,1,24-03-2020,10:35
Timor-Leste,1,,,1,24-03-2020,10:35
Turks and Caicos,1,,,1,24-03-2020,10:35
