Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"5,790,103","357,432","2,497,618","2,935,053",28-05-2020,06:45
North America,"1,956,670","118,823","612,738","1,225,109",28-05-2020,06:45
Europe,"1,950,083","170,631","931,561","847,891",28-05-2020,06:45
USA,"1,745,803","102,107","490,130","1,153,566",28-05-2020,06:45
Asia,"1,026,768","28,681","604,217","393,870",28-05-2020,06:45
South America,"720,265","35,436","287,513","397,316",28-05-2020,06:45
Brazil,"414,661","25,697","166,647","222,317",28-05-2020,06:45
Russia,"370,680","3,968","142,208","224,504",28-05-2020,06:45
Spain,"283,849","27,118","196,958","59,773",28-05-2020,06:45
UK,"267,240","37,460",N/A,N/A,28-05-2020,06:45
Italy,"231,139","33,072","147,101","50,966",28-05-2020,06:45
France,"182,913","28,596","66,584","87,733",28-05-2020,06:45
Germany,"181,895","8,533","162,800","10,562",28-05-2020,06:45
Turkey,"159,797","4,431","122,793","32,573",28-05-2020,06:45
India,"158,333","4,534","67,749","86,050",28-05-2020,06:45
Iran,"141,591","7,564","111,176","22,851",28-05-2020,06:45
Peru,"135,905","3,983","56,169","75,753",28-05-2020,06:45
Africa,"126,838","3,721","52,784","70,333",28-05-2020,06:45
Canada,"87,519","6,765","46,164","34,590",28-05-2020,06:45
China,"82,995","4,634","78,288",73,28-05-2020,06:45
Chile,"82,289",841,"33,540","47,908",28-05-2020,06:45
Saudi Arabia,"78,541",425,"51,022","27,094",28-05-2020,06:45
Mexico,"78,023","8,597","54,383","15,043",28-05-2020,06:45
Pakistan,"59,151","1,225","19,142","38,784",28-05-2020,06:45
Belgium,"57,592","9,364","15,465","32,763",28-05-2020,06:45
Qatar,"48,947",30,"13,283","35,634",28-05-2020,06:45
Netherlands,"45,768","5,871",N/A,N/A,28-05-2020,06:45
Belarus,"38,956",214,"15,923","22,819",28-05-2020,06:45
Bangladesh,"38,292",544,"7,925","29,823",28-05-2020,06:45
Ecuador,"38,103","3,275","18,425","16,403",28-05-2020,06:45
Sweden,"35,088","4,220","4,971","25,897",28-05-2020,06:45
Singapore,"32,876",23,"17,276","15,577",28-05-2020,06:45
UAE,"31,969",255,"16,371","15,343",28-05-2020,06:45
Portugal,"31,292","1,356","18,349","11,587",28-05-2020,06:45
Switzerland,"30,776","1,917","28,300",559,28-05-2020,06:45
South Africa,"25,937",552,"13,451","11,934",28-05-2020,06:45
Ireland,"24,803","1,631","22,089","1,083",28-05-2020,06:45
Colombia,"24,104",803,"6,111","17,190",28-05-2020,06:45
Indonesia,"23,851","1,473","6,057","16,321",28-05-2020,06:45
Kuwait,"23,267",175,"7,946","15,146",28-05-2020,06:45
Poland,"22,473","1,028","10,330","11,115",28-05-2020,06:45
Ukraine,"21,905",658,"7,995","13,252",28-05-2020,06:45
Egypt,"19,666",816,"5,205","13,645",28-05-2020,06:45
Romania,"18,594","1,227","12,162","5,205",28-05-2020,06:45
Israel,"16,793",281,"14,570","1,942",28-05-2020,06:45
Japan,"16,651",858,"13,973","1,820",28-05-2020,06:45
Austria,"16,591",645,"15,228",718,28-05-2020,06:45
Dominican Republic,"15,723",474,"8,790","6,459",28-05-2020,06:45
Philippines,"15,049",904,"3,506","10,639",28-05-2020,06:45
Argentina,"13,933",500,"4,349","9,084",28-05-2020,06:45
Afghanistan,"12,456",227,"1,138","11,091",28-05-2020,06:45
Panama,"11,728",315,"7,379","4,034",28-05-2020,06:45
Denmark,"11,480",565,"10,106",809,28-05-2020,06:45
S. Korea,"11,344",269,"10,340",735,28-05-2020,06:45
Serbia,"11,275",240,"6,277","4,758",28-05-2020,06:45
Bahrain,"9,692",15,"5,152","4,525",28-05-2020,06:45
Kazakhstan,"9,576",37,"4,768","4,771",28-05-2020,06:45
Czechia,"9,086",317,"6,370","2,399",28-05-2020,06:45
Algeria,"8,857",623,"5,129","3,105",28-05-2020,06:45
Oceania,"8,758",125,"8,154",479,28-05-2020,06:45
Nigeria,"8,733",254,"2,501","5,978",28-05-2020,06:45
Norway,"8,401",235,"7,727",439,28-05-2020,06:45
Oman,"8,373",39,"2,177","6,157",28-05-2020,06:45
Armenia,"7,774",98,"3,255","4,421",28-05-2020,06:45
Bolivia,"7,768",280,689,"6,799",28-05-2020,06:45
Malaysia,"7,619",115,"6,083","1,421",28-05-2020,06:45
Morocco,"7,601",202,"4,978","2,421",28-05-2020,06:45
Moldova,"7,537",274,"3,884","3,379",28-05-2020,06:45
Ghana,"7,303",34,"2,412","4,857",28-05-2020,06:45
Australia,"7,150",103,"6,579",468,28-05-2020,06:45
Finland,"6,692",313,"5,100","1,279",28-05-2020,06:45
Cameroon,"5,436",175,"1,996","3,265",28-05-2020,06:45
Iraq,"5,135",175,"2,904","2,056",28-05-2020,06:45
Honduras,"4,640",194,506,"3,940",28-05-2020,06:45
Azerbaijan,"4,568",54,"2,897","1,617",28-05-2020,06:45
Sudan,"4,346",195,749,"3,402",28-05-2020,06:45
Guatemala,"4,145",68,493,"3,584",28-05-2020,06:45
Luxembourg,"4,001",110,"3,791",100,28-05-2020,06:45
Hungary,"3,793",505,"1,856","1,432",28-05-2020,06:45
Tajikistan,"3,424",47,"1,575","1,802",28-05-2020,06:45
Uzbekistan,"3,369",14,"2,668",687,28-05-2020,06:45
Guinea,"3,275",20,"1,673","1,582",28-05-2020,06:45
Senegal,"3,253",38,"1,586","1,629",28-05-2020,06:45
Thailand,"3,054",57,"2,931",66,28-05-2020,06:45
Greece,"2,903",173,"1,374","1,356",28-05-2020,06:45
Djibouti,"2,697",18,"1,185","1,494",28-05-2020,06:45
Ivory Coast,"2,556",31,"1,302","1,223",28-05-2020,06:45
DRC,"2,546",68,365,"2,113",28-05-2020,06:45
Bulgaria,"2,460",133,912,"1,415",28-05-2020,06:45
Bosnia and Herzegovina,"2,435",151,"1,744",540,28-05-2020,06:45
Gabon,"2,319",14,631,"1,674",28-05-2020,06:45
Croatia,"2,244",101,"2,047",96,28-05-2020,06:45
El Salvador,"2,109",39,891,"1,179",28-05-2020,06:45
North Macedonia,"2,039",119,"1,470",450,28-05-2020,06:45
Cuba,"1,974",82,"1,724",168,28-05-2020,06:45
Estonia,"1,840",66,"1,561",213,28-05-2020,06:45
Iceland,"1,805",10,"1,792",3,28-05-2020,06:45
Somalia,"1,731",67,265,"1,399",28-05-2020,06:45
Lithuania,"1,647",66,"1,184",397,28-05-2020,06:45
Mayotte,"1,645",20,"1,314",311,28-05-2020,06:45
Kyrgyzstan,"1,520",16,"1,043",461,28-05-2020,06:45
Slovakia,"1,515",28,"1,327",160,28-05-2020,06:45
New Zealand,"1,504",22,"1,474",8,28-05-2020,06:45
Slovenia,"1,471",108,"1,354",9,28-05-2020,06:45
Kenya,"1,471",55,408,"1,008",28-05-2020,06:45
Sri Lanka,"1,469",10,732,727,28-05-2020,06:45
Maldives,"1,457",5,197,"1,255",28-05-2020,06:45
Haiti,"1,320",34,22,"1,264",28-05-2020,06:45
Venezuela,"1,245",11,302,932,28-05-2020,06:45
Guinea-Bissau,"1,195",7,42,"1,146",28-05-2020,06:45
Lebanon,"1,161",26,692,443,28-05-2020,06:45
Mali,"1,116",70,632,414,28-05-2020,06:45
Hong Kong,"1,067",4,"1,034",29,28-05-2020,06:45
Latvia,"1,057",23,741,293,28-05-2020,06:45
Zambia,"1,057",7,779,271,28-05-2020,06:45
Tunisia,"1,051",48,929,74,28-05-2020,06:45
Albania,"1,050",33,812,205,28-05-2020,06:45
Equatorial Guinea,"1,043",12,165,866,28-05-2020,06:45
South Sudan,994,10,6,978,28-05-2020,06:45
Costa Rica,984,10,639,335,28-05-2020,06:45
Niger,952,63,796,93,28-05-2020,06:45
Cyprus,939,17,594,328,28-05-2020,06:45
Nepal,886,4,183,699,28-05-2020,06:45
Paraguay,884,11,392,481,28-05-2020,06:45
Burkina Faso,845,53,672,120,28-05-2020,06:45
Uruguay,803,22,650,131,28-05-2020,06:45
Sierra Leone,782,45,297,440,28-05-2020,06:45
Andorra,763,51,676,36,28-05-2020,06:45
Nicaragua,759,35,370,354,28-05-2020,06:45
Georgia,735,12,557,166,28-05-2020,06:45
Ethiopia,731,6,181,544,28-05-2020,06:45
,721,15,651,55,28-05-2020,06:45
Jordan,720,9,586,125,28-05-2020,06:45
Chad,715,64,359,292,28-05-2020,06:45
Diamond Princess,712,13,651,48,28-05-2020,06:45
CAR,702,1,23,678,28-05-2020,06:45
San Marino,667,42,294,331,28-05-2020,06:45
Malta,612,7,491,114,28-05-2020,06:45
Madagascar,612,2,151,459,28-05-2020,06:45
Congo,571,19,161,391,28-05-2020,06:45
Jamaica,569,9,279,281,28-05-2020,06:45
Channel Islands,560,45,512,3,28-05-2020,06:45
Tanzania,509,21,183,305,28-05-2020,06:45
Réunion,460,1,411,48,28-05-2020,06:45
Sao Tome and Principe,443,12,68,363,28-05-2020,06:45
Taiwan,441,7,419,15,28-05-2020,06:45
Palestine,434,3,365,66,28-05-2020,06:45
French Guiana,406,1,150,255,28-05-2020,06:45
Togo,395,13,183,199,28-05-2020,06:45
Cabo Verde,390,4,155,231,28-05-2020,06:45
Rwanda,346,,245,101,28-05-2020,06:45
Isle of Man,336,24,306,6,28-05-2020,06:45
Mauritius,334,10,322,2,28-05-2020,06:45
Vietnam,327,,278,49,28-05-2020,06:45
Montenegro,324,9,315,0,28-05-2020,06:45
Mauritania,292,16,15,261,28-05-2020,06:45
Uganda,281,,69,212,28-05-2020,06:45
Eswatini,272,2,168,102,28-05-2020,06:45
Liberia,266,27,144,95,28-05-2020,06:45
