Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"702,368","33,180","149,219","519,969",29-03-2020,19:53
USA,"131,403","2,329","4,378","124,696",29-03-2020,19:53
Italy,"97,689","10,779","13,030","73,880",29-03-2020,19:53
China,"81,439","3,300","75,448","2,691",29-03-2020,19:53
Spain,"78,799","6,606","14,709","57,484",29-03-2020,19:53
Germany,"60,659",482,"9,211","50,966",29-03-2020,19:53
Iran,"38,309","2,640","12,391","23,278",29-03-2020,19:53
France,"37,575","2,314","5,700","29,561",29-03-2020,19:53
UK,"19,522","1,228",135,"18,159",29-03-2020,19:53
Switzerland,"14,829",300,"1,595","12,934",29-03-2020,19:53
Netherlands,"10,866",771,250,"9,845",29-03-2020,19:53
Belgium,"10,836",431,"1,359","9,046",29-03-2020,19:53
S. Korea,"9,583",152,"5,033","4,398",29-03-2020,19:53
Turkey,"9,217",131,105,"8,981",29-03-2020,19:53
Austria,"8,672",86,479,"8,107",29-03-2020,19:53
Portugal,"5,962",119,43,"5,800",29-03-2020,19:53
Canada,"5,886",63,508,"5,315",29-03-2020,19:53
Norway,"4,239",25,7,"4,207",29-03-2020,19:53
Australia,"3,980",16,226,"3,738",29-03-2020,19:53
Brazil,"3,904",117,6,"3,781",29-03-2020,19:53
Israel,"3,865",15,89,"3,761",29-03-2020,19:53
Sweden,"3,700",110,16,"3,574",29-03-2020,19:53
Czechia,"2,743",13,11,"2,719",29-03-2020,19:53
Malaysia,"2,470",35,388,"2,047",29-03-2020,19:53
Ireland,"2,415",36,5,"2,374",29-03-2020,19:53
Denmark,"2,395",72,1,"2,322",29-03-2020,19:53
Chile,"2,139",7,75,"2,057",29-03-2020,19:53
Luxembourg,"1,950",21,40,"1,889",29-03-2020,19:53
Ecuador,"1,890",57,3,"1,830",29-03-2020,19:53
Poland,"1,771",20,7,"1,744",29-03-2020,19:53
Romania,"1,760",42,169,"1,549",29-03-2020,19:53
Japan,"1,693",52,424,"1,217",29-03-2020,19:53
Russia,"1,534",8,64,"1,462",29-03-2020,19:53
Pakistan,"1,526",14,29,"1,483",29-03-2020,19:53
Philippines,"1,418",71,42,"1,305",29-03-2020,19:53
Thailand,"1,388",7,97,"1,284",29-03-2020,19:53
Saudi Arabia,"1,299",8,66,"1,225",29-03-2020,19:53
Indonesia,"1,285",114,64,"1,107",29-03-2020,19:53
Finland,"1,240",11,10,"1,219",29-03-2020,19:53
South Africa,"1,187",1,31,"1,155",29-03-2020,19:53
Greece,"1,156",38,52,"1,066",29-03-2020,19:53
India,"1,024",27,87,910,29-03-2020,19:53
Iceland,"1,020",2,114,904,29-03-2020,19:53
Panama,901,17,4,880,29-03-2020,19:53
Dominican Republic,859,39,3,817,29-03-2020,19:53
Mexico,848,16,4,828,29-03-2020,19:53
Singapore,844,3,212,629,29-03-2020,19:53
Argentina,745,19,72,654,29-03-2020,19:53
Serbia,741,13,42,686,29-03-2020,19:53
Slovenia,730,11,10,709,29-03-2020,19:53
Croatia,713,6,52,655,29-03-2020,19:53
Diamond Princess,712,10,597,105,29-03-2020,19:53
Estonia,679,3,20,656,29-03-2020,19:53
Peru,671,16,16,639,29-03-2020,19:53
Hong Kong,641,4,118,519,29-03-2020,19:53
Colombia,608,6,10,592,29-03-2020,19:53
Qatar,590,1,45,544,29-03-2020,19:53
Egypt,576,36,121,419,29-03-2020,19:53
UAE,570,2,58,510,29-03-2020,19:53
Iraq,547,42,143,362,29-03-2020,19:53
New Zealand,514,1,56,457,29-03-2020,19:53
Algeria,511,31,31,449,29-03-2020,19:53
Bahrain,499,4,272,223,29-03-2020,19:53
Morocco,450,26,13,411,29-03-2020,19:53
Lebanon,438,10,30,398,29-03-2020,19:53
Lithuania,437,7,1,429,29-03-2020,19:53
Armenia,424,3,30,391,29-03-2020,19:53
Ukraine,418,9,5,404,29-03-2020,19:53
Hungary,408,13,34,361,29-03-2020,19:53
Latvia,347,,1,346,29-03-2020,19:53
Bulgaria,346,8,14,324,29-03-2020,19:53
Andorra,334,6,1,327,29-03-2020,19:53
Bosnia and Herzegovina,323,6,8,309,29-03-2020,19:53
Slovakia,314,,2,312,29-03-2020,19:53
Uruguay,304,1,,303,29-03-2020,19:53
Taiwan,298,2,39,257,29-03-2020,19:53
Costa Rica,295,2,3,290,29-03-2020,19:53
Tunisia,278,8,2,268,29-03-2020,19:53
Moldova,263,2,2,259,29-03-2020,19:53
North Macedonia,259,6,3,250,29-03-2020,19:53
Kuwait,255,,67,188,29-03-2020,19:53
Kazakhstan,251,1,18,232,29-03-2020,19:53
Jordan,246,1,18,227,29-03-2020,19:53
San Marino,224,22,6,196,29-03-2020,19:53
Cyprus,214,5,15,194,29-03-2020,19:53
Albania,212,10,33,169,29-03-2020,19:53
Azerbaijan,209,4,15,190,29-03-2020,19:53
Burkina Faso,207,11,21,175,29-03-2020,19:53
Vietnam,188,,25,163,29-03-2020,19:53
Réunion,183,,1,182,29-03-2020,19:53
Oman,167,,23,144,29-03-2020,19:53
Faeroe Islands,159,,70,89,29-03-2020,19:53
Ghana,152,5,2,145,29-03-2020,19:53
Malta,151,,2,149,29-03-2020,19:53
Uzbekistan,144,2,7,135,29-03-2020,19:53
Senegal,142,,27,115,29-03-2020,19:53
Ivory Coast,140,,3,137,29-03-2020,19:53
Cuba,139,3,4,132,29-03-2020,19:53
Brunei,126,1,34,91,29-03-2020,19:53
Afghanistan,120,4,2,114,29-03-2020,19:53
Venezuela,119,2,39,78,29-03-2020,19:53
Sri Lanka,117,1,11,105,29-03-2020,19:53
Honduras,110,2,3,105,29-03-2020,19:53
Palestine,108,1,18,89,29-03-2020,19:53
Mauritius,107,2,,105,29-03-2020,19:53
Cambodia,103,,21,82,29-03-2020,19:53
Guadeloupe,102,2,17,83,29-03-2020,19:53
Channel Islands,100,2,,98,29-03-2020,19:53
Nigeria,97,1,3,93,29-03-2020,19:53
Belarus,94,,32,62,29-03-2020,19:53
Martinique,93,1,,92,29-03-2020,19:53
Cameroon,91,2,2,87,29-03-2020,19:53
Georgia,91,,18,73,29-03-2020,19:53
Montenegro,85,1,,84,29-03-2020,19:53
Kyrgyzstan,84,,,84,29-03-2020,19:53
Bolivia,81,1,,80,29-03-2020,19:53
Trinidad and Tobago,76,3,1,72,29-03-2020,19:53
DRC,65,6,2,57,29-03-2020,19:53
Mayotte,63,,,63,29-03-2020,19:53
Rwanda,60,,,60,29-03-2020,19:53
Paraguay,56,3,1,52,29-03-2020,19:53
Gibraltar,56,,14,42,29-03-2020,19:53
Liechtenstein,56,,,56,29-03-2020,19:53
Bangladesh,48,5,15,28,29-03-2020,19:53
Aruba,46,,1,45,29-03-2020,19:53
Monaco,43,1,1,41,29-03-2020,19:53
Kenya,42,1,1,40,29-03-2020,19:53
Isle of Man,42,,,42,29-03-2020,19:53
Madagascar,39,,,39,29-03-2020,19:53
Macao,37,,10,27,29-03-2020,19:53
Guatemala,34,1,10,23,29-03-2020,19:53
Jamaica,32,1,2,29,29-03-2020,19:53
French Polynesia,30,,,30,29-03-2020,19:53
Uganda,30,,,30,29-03-2020,19:53
Zambia,29,,,29,29-03-2020,19:53
French Guiana,28,,6,22,29-03-2020,19:53
Barbados,26,,,26,29-03-2020,19:53
Togo,25,1,1,23,29-03-2020,19:53
El Salvador,24,,,24,29-03-2020,19:53
Bermuda,22,,2,20,29-03-2020,19:53
Congo,19,,,19,29-03-2020,19:53
Ethiopia,19,,1,18,29-03-2020,19:53
Mali,18,1,,17,29-03-2020,19:53
Niger,18,1,,17,29-03-2020,19:53
Maldives,17,,11,6,29-03-2020,19:53
