Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"1,697,364","102,667","376,109","1,218,588",11-04-2020,03:12
Europe,"820,109","70,094","196,782","553,233",11-04-2020,03:12
North America,"535,845","19,774","34,377","481,694",11-04-2020,03:12
USA,"501,880","18,699","27,239","455,942",11-04-2020,03:12
Asia,"274,566","10,224","133,960","130,382",11-04-2020,03:12
Spain,"158,273","16,081","55,668","86,524",11-04-2020,03:12
Italy,"147,577","18,849","30,455","98,273",11-04-2020,03:12
France,"124,869","13,197","24,932","86,740",11-04-2020,03:12
Germany,"122,171","2,767","53,913","65,491",11-04-2020,03:12
China,"81,907","3,336","77,455","1,116",11-04-2020,03:12
UK,"73,758","8,958",344,"64,456",11-04-2020,03:12
Iran,"68,192","4,232","35,465","28,495",11-04-2020,03:12
Turkey,"47,029","1,006","2,423","43,600",11-04-2020,03:12
South America,"44,976","1,809","4,619","38,548",11-04-2020,03:12
Belgium,"26,667","3,019","5,568","18,080",11-04-2020,03:12
Switzerland,"24,551","1,002","11,100","12,449",11-04-2020,03:12
Netherlands,"23,097","2,511",250,"20,336",11-04-2020,03:12
Canada,"22,148",569,"6,013","15,566",11-04-2020,03:12
Brazil,"19,789","1,068",173,"18,548",11-04-2020,03:12
Portugal,"15,472",435,233,"14,804",11-04-2020,03:12
Austria,"13,560",319,"6,064","7,177",11-04-2020,03:12
Africa,"13,539",697,"2,237","10,605",11-04-2020,03:12
Russia,"11,917",94,795,"11,028",11-04-2020,03:12
S. Korea,"10,450",208,"7,117","3,125",11-04-2020,03:12
Israel,"10,408",95,"1,183","9,130",11-04-2020,03:12
Sweden,"9,685",870,381,"8,434",11-04-2020,03:12
Ireland,"8,089",287,25,"7,777",11-04-2020,03:12
Oceania,"7,608",56,"3,515","4,037",11-04-2020,03:12
India,"7,600",249,774,"6,577",11-04-2020,03:12
Ecuador,"7,161",297,368,"6,496",11-04-2020,03:12
Chile,"6,501",65,"1,571","4,865",11-04-2020,03:12
Norway,"6,314",113,32,"6,169",11-04-2020,03:12
Australia,"6,238",54,"3,141","3,043",11-04-2020,03:12
Poland,"5,955",181,318,"5,456",11-04-2020,03:12
Peru,"5,897",169,"1,569","4,159",11-04-2020,03:12
Denmark,"5,819",247,"1,773","3,799",11-04-2020,03:12
Czechia,"5,732",119,346,"5,267",11-04-2020,03:12
Japan,"5,530",99,685,"4,746",11-04-2020,03:12
Romania,"5,467",270,729,"4,468",11-04-2020,03:12
Pakistan,"4,695",66,727,"3,902",11-04-2020,03:12
Malaysia,"4,346",70,"1,830","2,446",11-04-2020,03:12
Philippines,"4,195",221,140,"3,834",11-04-2020,03:12
Saudi Arabia,"3,651",47,685,"2,919",11-04-2020,03:12
Indonesia,"3,512",306,282,"2,924",11-04-2020,03:12
Mexico,"3,441",194,633,"2,614",11-04-2020,03:12
UAE,"3,360",16,418,"2,926",11-04-2020,03:12
Luxembourg,"3,223",54,500,"2,669",11-04-2020,03:12
Serbia,"3,105",71,118,"2,916",11-04-2020,03:12
Panama,"2,974",74,17,"2,883",11-04-2020,03:12
Finland,"2,769",48,300,"2,421",11-04-2020,03:12
Dominican Republic,"2,620",126,98,"2,396",11-04-2020,03:12
Qatar,"2,512",6,227,"2,279",11-04-2020,03:12
Colombia,"2,473",80,197,"2,196",11-04-2020,03:12
Thailand,"2,473",33,"1,013","1,427",11-04-2020,03:12
Ukraine,"2,203",69,61,"2,073",11-04-2020,03:12
Singapore,"2,108",7,492,"1,609",11-04-2020,03:12
Greece,"2,011",92,269,"1,650",11-04-2020,03:12
South Africa,"2,003",24,410,"1,569",11-04-2020,03:12
Belarus,"1,981",19,169,"1,793",11-04-2020,03:12
Argentina,"1,975",82,375,"1,518",11-04-2020,03:12
Egypt,"1,794",135,384,"1,275",11-04-2020,03:12
Algeria,"1,761",256,405,"1,100",11-04-2020,03:12
Iceland,"1,675",7,751,917,11-04-2020,03:12
Croatia,"1,495",21,231,"1,243",11-04-2020,03:12
Morocco,"1,448",107,122,"1,219",11-04-2020,03:12
Moldova,"1,438",29,56,"1,353",11-04-2020,03:12
New Zealand,"1,283",2,373,908,11-04-2020,03:12
Iraq,"1,279",70,550,659,11-04-2020,03:12
Estonia,"1,258",24,93,"1,141",11-04-2020,03:12
Hungary,"1,190",77,112,"1,001",11-04-2020,03:12
Slovenia,"1,160",45,137,978,11-04-2020,03:12
Lithuania,999,22,54,923,11-04-2020,03:12
Kuwait,993,1,123,869,11-04-2020,03:12
Azerbaijan,991,10,159,822,11-04-2020,03:12
Hong Kong,990,4,309,677,11-04-2020,03:12
Armenia,937,12,149,776,11-04-2020,03:12
Bahrain,925,6,539,380,11-04-2020,03:12
Bosnia and Herzegovina,901,36,129,736,11-04-2020,03:12
Cameroon,820,12,98,710,11-04-2020,03:12
Kazakhstan,812,10,64,738,11-04-2020,03:12
,721,13,619,89,11-04-2020,03:12
Slovakia,715,2,23,690,11-04-2020,03:12
Diamond Princess,712,11,619,82,11-04-2020,03:12
North Macedonia,711,32,41,638,11-04-2020,03:12
Tunisia,671,25,25,621,11-04-2020,03:12
Bulgaria,635,25,54,556,11-04-2020,03:12
Uzbekistan,624,3,42,579,11-04-2020,03:12
Latvia,612,3,16,593,11-04-2020,03:12
Lebanon,609,20,76,513,11-04-2020,03:12
Andorra,601,26,71,504,11-04-2020,03:12
Cyprus,595,10,58,527,11-04-2020,03:12
Cuba,564,15,51,498,11-04-2020,03:12
Costa Rica,558,3,42,513,11-04-2020,03:12
Afghanistan,521,15,32,474,11-04-2020,03:12
Oman,484,3,109,372,11-04-2020,03:12
Ivory Coast,480,3,54,423,11-04-2020,03:12
Uruguay,473,7,206,260,11-04-2020,03:12
