Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
World,"5,303,988","340,003","2,158,556","2,805,429",23-05-2020,05:23
Europe,"1,868,166","168,419","849,073","850,674",23-05-2020,05:23
North America,"1,828,101","112,123","507,180","1,208,798",23-05-2020,05:23
USA,"1,645,094","97,647","403,201","1,144,246",23-05-2020,05:23
Asia,"912,381","26,676","531,998","353,707",23-05-2020,05:23
South America,"580,071","29,444","218,738","331,889",23-05-2020,05:23
Brazil,"332,382","21,116","135,430","175,836",23-05-2020,05:23
Russia,"326,448","3,249","99,825","223,374",23-05-2020,05:23
Spain,"281,904","28,628","196,958","56,318",23-05-2020,05:23
UK,"254,195","36,393",N/A,N/A,23-05-2020,05:23
Italy,"228,658","32,616","136,720","59,322",23-05-2020,05:23
France,"182,219","28,289","64,209","89,721",23-05-2020,05:23
Germany,"179,713","8,352","159,000","12,361",23-05-2020,05:23
Turkey,"154,500","4,276","116,111","34,113",23-05-2020,05:23
Iran,"131,652","7,300","102,276","22,076",23-05-2020,05:23
India,"124,794","3,726","51,824","69,244",23-05-2020,05:23
Peru,"111,698","3,244","44,848","63,606",23-05-2020,05:23
Africa,"105,845","3,204","42,881","59,760",23-05-2020,05:23
China,"82,971","4,634","78,258",79,23-05-2020,05:23
Canada,"82,480","6,250","42,594","33,636",23-05-2020,05:23
Saudi Arabia,"67,719",364,"39,003","28,352",23-05-2020,05:23
Mexico,"62,527","6,989","42,725","12,813",23-05-2020,05:23
Chile,"61,857",630,"25,342","35,885",23-05-2020,05:23
Belgium,"56,511","9,212","15,123","32,176",23-05-2020,05:23
Pakistan,"50,694","1,067","15,201","34,426",23-05-2020,05:23
Netherlands,"44,888","5,788",N/A,N/A,23-05-2020,05:23
Qatar,"40,481",19,"7,893","32,569",23-05-2020,05:23
Ecuador,"35,828","3,056","3,557","29,215",23-05-2020,05:23
Belarus,"34,303",190,"12,833","21,280",23-05-2020,05:23
Sweden,"32,809","3,925","4,971","23,913",23-05-2020,05:23
Switzerland,"30,707","1,903","27,900",904,23-05-2020,05:23
Singapore,"30,426",23,"12,995","17,408",23-05-2020,05:23
Bangladesh,"30,205",432,"6,190","23,583",23-05-2020,05:23
Portugal,"30,200","1,289","7,590","21,321",23-05-2020,05:23
UAE,"27,892",241,"13,798","13,853",23-05-2020,05:23
Ireland,"24,506","1,592","21,060","1,854",23-05-2020,05:23
Indonesia,"20,796","1,326","5,057","14,413",23-05-2020,05:23
Poland,"20,619",982,"8,731","10,906",23-05-2020,05:23
Ukraine,"20,148",588,"6,585","12,975",23-05-2020,05:23
South Africa,"20,125",397,"10,104","9,624",23-05-2020,05:23
Kuwait,"19,564",138,"5,515","13,911",23-05-2020,05:23
Colombia,"19,131",682,"4,575","13,874",23-05-2020,05:23
Romania,"17,712","1,166","10,777","5,769",23-05-2020,05:23
Israel,"16,690",279,"13,915","2,496",23-05-2020,05:23
Japan,"16,513",796,"13,005","2,712",23-05-2020,05:23
Austria,"16,436",635,"15,005",796,23-05-2020,05:23
Egypt,"15,786",707,"4,374","10,705",23-05-2020,05:23
Dominican Republic,"13,989",456,"7,572","5,961",23-05-2020,05:23
Philippines,"13,597",857,"3,092","9,648",23-05-2020,05:23
Denmark,"11,230",561,"9,764",905,23-05-2020,05:23
S. Korea,"11,165",266,"10,194",705,23-05-2020,05:23
Serbia,"11,024",237,"5,541","5,246",23-05-2020,05:23
Argentina,"10,649",433,"3,062","7,154",23-05-2020,05:23
Panama,"10,267",295,"6,275","3,697",23-05-2020,05:23
Afghanistan,"9,216",205,996,"8,015",23-05-2020,05:23
Czechia,"8,813",312,"6,025","2,476",23-05-2020,05:23
Oceania,"8,703",122,"8,035",546,23-05-2020,05:23
Bahrain,"8,414",12,"4,096","4,306",23-05-2020,05:23
Norway,"8,332",235,"7,727",370,23-05-2020,05:23
Kazakhstan,"7,919",35,"4,096","3,788",23-05-2020,05:23
Algeria,"7,918",582,"4,256","3,080",23-05-2020,05:23
