Country Name,Confirmed Cases,Reported Death,Recovered Cases,Active Cases,Date,Time
China,"81,008","3,255","71,740","6,013",22-03-2020,00:09
Italy,"53,578","4,825","6,072","42,681",22-03-2020,00:09
Spain,"25,374","1,378","2,125","21,871",22-03-2020,00:09
USA,"24,142",288,171,"23,683",22-03-2020,00:09
Germany,"22,213",84,209,"21,920",22-03-2020,00:09
Iran,"20,610","1,556","7,635","11,419",22-03-2020,00:09
France,"14,459",562,"1,587","12,310",22-03-2020,00:09
S. Korea,"8,799",102,"2,612","6,085",22-03-2020,00:09
Switzerland,"6,746",79,15,"6,652",22-03-2020,00:09
UK,"5,018",233,93,"4,692",22-03-2020,00:09
Netherlands,"3,631",136,2,"3,493",22-03-2020,00:09
Austria,"2,955",8,9,"2,938",22-03-2020,00:09
Belgium,"2,815",67,263,"2,485",22-03-2020,00:09
Norway,"2,150",7,6,"2,137",22-03-2020,00:09
Sweden,"1,770",20,16,"1,734",22-03-2020,00:09
Denmark,"1,326",13,1,"1,312",22-03-2020,00:09
Canada,"1,280",18,14,"1,248",22-03-2020,00:09
Portugal,"1,280",12,5,"1,263",22-03-2020,00:09
Malaysia,"1,183",8,114,"1,061",22-03-2020,00:09
Brazil,"1,128",18,2,"1,108",22-03-2020,00:09
Australia,"1,072",7,46,"1,019",22-03-2020,00:09
Japan,"1,046",36,215,795,22-03-2020,00:09
Czechia,995,,6,989,22-03-2020,00:09
Turkey,947,21,,926,22-03-2020,00:09
Israel,883,1,36,846,22-03-2020,00:09
Ireland,785,3,5,777,22-03-2020,00:09
Pakistan,734,3,13,718,22-03-2020,00:09
Diamond Princess,712,8,567,137,22-03-2020,00:09
Luxembourg,670,8,6,656,22-03-2020,00:09
Chile,537,1,8,528,22-03-2020,00:09
Poland,536,5,13,518,22-03-2020,00:09
Greece,530,13,19,498,22-03-2020,00:09
Finland,523,1,10,512,22-03-2020,00:09
Ecuador,506,7,3,496,22-03-2020,00:09
Qatar,481,,27,454,22-03-2020,00:09
Iceland,473,1,5,467,22-03-2020,00:09
Indonesia,450,38,20,392,22-03-2020,00:09
Singapore,432,2,140,290,22-03-2020,00:09
Thailand,411,1,44,366,22-03-2020,00:09
Saudi Arabia,392,,16,376,22-03-2020,00:09
Slovenia,383,1,,382,22-03-2020,00:09
Romania,367,,52,315,22-03-2020,00:09
India,332,5,23,304,22-03-2020,00:09
Peru,318,5,1,312,22-03-2020,00:09
Bahrain,310,1,125,184,22-03-2020,00:09
Philippines,307,19,13,275,22-03-2020,00:09
Russia,306,1,16,289,22-03-2020,00:09
Estonia,306,,2,304,22-03-2020,00:09
Egypt,294,10,42,242,22-03-2020,00:09
Hong Kong,273,4,98,171,22-03-2020,00:09
South Africa,240,,2,238,22-03-2020,00:09
Lebanon,230,4,8,218,22-03-2020,00:09
Iraq,214,17,51,146,22-03-2020,00:09
Croatia,206,1,5,200,22-03-2020,00:09
Mexico,203,2,4,197,22-03-2020,00:09
Panama,200,1,1,198,22-03-2020,00:09
Colombia,196,,1,195,22-03-2020,00:09
Slovakia,178,,7,171,22-03-2020,00:09
